"",BBSF2.M.1.P.00000.TOT01.I.F.AKT.Z5.00011.000000.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.AKT.Z5.00011.000000.Z01.00_FLAGS
"",Public funds / Funds total / Shares / Non-financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:53,
2009-09,77179,
2009-10,76210,
2009-11,77450,
2009-12,83715,
2010-01,80166,
2010-02,81200,
2010-03,87545,
2010-04,93221,
2010-05,88640,
2010-06,83669,
2010-07,84143,
2010-08,82999,
2010-09,87473,
2010-10,91773,
2010-11,95759,
2010-12,101432,
2011-01,99709,
2011-02,100375,
2011-03,98705,
2011-04,101436,
2011-05,101662,
2011-06,99568,
2011-07,100937,
2011-08,86412,
2011-09,81895,
2011-10,89659,
2011-11,87894,
2011-12,89117,
2012-01,93900,
2012-02,97073,
2012-03,96787,
2012-04,92962,
2012-05,89473,
2012-06,90788,
2012-07,97631,
2012-08,98196,
2012-09,99481,
2012-10,97987,
2012-11,98559,
2012-12,100444,
2013-01,102428,
2013-02,104360,
2013-03,106823,
2013-04,106136,
2013-05,108644,
2013-06,103406,
2013-07,107511,
2013-08,106498,
2013-09,110617,
2013-10,114459,
2013-11,117256,
2013-12,117908,
2014-01,114220,
2014-02,118844,
2014-03,118116,
2014-04,119146,
2014-05,122750,
2014-06,123532,
2014-07,120344,
2014-08,122242,
2014-09,119485,
2014-10,116846,
2014-11,119828,
