"",BBEX3.D.JPY.USD.CA.AA.000,BBEX3.D.JPY.USD.CA.AA.000_FLAGS
"",Exchange rates for the US dollar in Japan / USD 1 = JPY ... (buying),
unit,JPY (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:44:37,
1981-01-05,201.45,
1981-01-06,198.00,
1981-01-07,198.80,
1981-01-08,200.60,
1981-01-09,200.75,
1981-01-10,.,No value available
1981-01-11,.,No value available
1981-01-12,200.15,
1981-01-13,203.30,
1981-01-14,202.30,
1981-01-15,.,No value available
1981-01-16,202.30,
1981-01-17,.,No value available
1981-01-18,.,No value available
1981-01-19,202.35,
1981-01-20,201.05,
1981-01-21,198.85,
1981-01-22,199.70,
1981-01-23,200.55,
1981-01-24,.,No value available
1981-01-25,.,No value available
1981-01-26,201.25,
1981-01-27,202.65,
1981-01-28,202.00,
1981-01-29,203.10,
1981-01-30,203.85,
1981-01-31,.,No value available
1981-02-01,.,No value available
1981-02-02,205.30,
1981-02-03,202.95,
1981-02-04,203.25,
1981-02-05,202.75,
1981-02-06,203.30,
1981-02-07,.,No value available
1981-02-08,.,No value available
1981-02-09,202.80,
1981-02-10,203.90,
1981-02-11,.,No value available
1981-02-12,203.45,
1981-02-13,204.30,
1981-02-14,.,No value available
1981-02-15,.,No value available
1981-02-16,206.15,
1981-02-17,207.10,
1981-02-18,204.65,
1981-02-19,205.90,
1981-02-20,204.15,
1981-02-21,.,No value available
1981-02-22,.,No value available
1981-02-23,205.40,
1981-02-24,207.50,
1981-02-25,205.85,
1981-02-26,207.30,
1981-02-27,207.50,
1981-02-28,.,No value available
1981-03-01,.,No value available
1981-03-02,209.25,
1981-03-03,209.85,
1981-03-04,207.85,
1981-03-05,208.05,
1981-03-06,208.70,
1981-03-07,.,No value available
1981-03-08,.,No value available
1981-03-09,207.15,
1981-03-10,205.35,
1981-03-11,206.70,
1981-03-12,206.20,
1981-03-13,206.60,
1981-03-14,.,No value available
1981-03-15,.,No value available
1981-03-16,207.45,
1981-03-17,206.25,
1981-03-18,205.70,
1981-03-19,206.50,
1981-03-20,208.35,
1981-03-21,.,No value available
1981-03-22,.,No value available
1981-03-23,207.75,
1981-03-24,207.60,
1981-03-25,208.10,
1981-03-26,208.30,
1981-03-27,212.00,
1981-03-28,.,No value available
1981-03-29,.,No value available
1981-03-30,212.30,
1981-03-31,209.65,
1981-04-01,211.70,
1981-04-02,211.70,
1981-04-03,212.65,
1981-04-04,.,No value available
1981-04-05,.,No value available
1981-04-06,212.80,
1981-04-07,213.75,
1981-04-08,211.95,
1981-04-09,213.20,
1981-04-10,213.50,
1981-04-11,.,No value available
1981-04-12,.,No value available
1981-04-13,215.05,
1981-04-14,214.70,
1981-04-15,214.95,
1981-04-16,216.70,
1981-04-17,216.45,
1981-04-18,.,No value available
1981-04-19,.,No value available
1981-04-20,217.70,
1981-04-21,217.05,
1981-04-22,217.05,
1981-04-23,216.30,
1981-04-24,214.20,
1981-04-25,.,No value available
1981-04-26,.,No value available
1981-04-27,213.30,
1981-04-28,211.60,
1981-04-29,.,No value available
1981-04-30,214.35,
1981-05-01,216.30,
1981-05-02,.,No value available
1981-05-03,.,No value available
1981-05-04,.,No value available
1981-05-05,.,No value available
1981-05-06,216.95,
1981-05-07,214.60,
1981-05-08,217.30,
1981-05-09,.,No value available
1981-05-10,.,No value available
1981-05-11,217.05,
1981-05-12,218.30,
1981-05-13,218.05,
1981-05-14,219.90,
1981-05-15,220.65,
1981-05-16,.,No value available
1981-05-17,.,No value available
1981-05-18,221.00,
1981-05-19,220.00,
1981-05-20,221.35,
1981-05-21,219.00,
1981-05-22,221.95,
1981-05-23,.,No value available
1981-05-24,.,No value available
1981-05-25,220.95,
1981-05-26,222.80,
1981-05-27,224.15,
1981-05-28,224.10,
1981-05-29,223.20,
1981-05-30,.,No value available
1981-05-31,.,No value available
1981-06-01,222.30,
1981-06-02,222.20,
1981-06-03,222.50,
1981-06-04,224.20,
1981-06-05,225.85,
1981-06-06,.,No value available
1981-06-07,.,No value available
1981-06-08,226.70,
1981-06-09,228.30,
1981-06-10,226.10,
1981-06-11,225.80,
1981-06-12,223.85,
1981-06-13,.,No value available
1981-06-14,.,No value available
1981-06-15,222.45,
1981-06-16,219.40,
1981-06-17,219.90,
1981-06-18,221.60,
1981-06-19,222.70,
1981-06-20,.,No value available
1981-06-21,.,No value available
1981-06-22,221.45,
1981-06-23,221.00,
1981-06-24,222.10,
1981-06-25,222.75,
1981-06-26,225.60,
