"",BBK01.OEBI02M,BBK01.OEBI02M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:20,
2002-01,11.132,
2002-04,11.298,
2002-07,12.374,
2002-10,13.018,
2003-01,12.369,
2003-04,13.367,
2003-07,13.680,
2003-10,14.969,
2004-01,14.872,
2004-04,15.104,
2004-07,16.009,
2004-10,17.188,
2005-01,17.731,
2005-04,17.719,
2005-07,18.368,
2005-10,18.524,
2006-01,18.110,
2006-04,18.414,
2006-07,17.855,
2006-10,18.601,
2007-01,17.988,
2007-04,18.829,
2007-07,18.115,
2007-10,19.597,
2008-01,19.276,
2008-04,19.226,
2008-07,18.745,
2008-10,21.263,
2009-01,25.223,
2009-04,27.329,
2009-07,27.868,
2009-10,29.261,
2010-01,29.488,
2010-04,30.947,
2010-07,31.234,
2010-10,31.292,
2011-01,31.212,
2011-04,31.328,
2011-07,32.427,
2011-10,35.021,
2012-01,33.939,
2012-04,35.121,
2012-07,38.040,
2012-10,38.245,
2013-01,38.478,
2013-04,39.266,
2013-07,39.569,
2013-10,39.134,
2014-01,39.144,
2014-04,40.343,
2014-07,41.671,
