"",BBEX3.M.DJF.USD.CA.AA.A01,BBEX3.M.DJF.USD.CA.AA.A01_FLAGS
"",Exchange rates for the US dollar in Djibouti / USD 1 = DJF ... (buying),
unit,DJF (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:16:59,
1974-12,176.840,
1975-01,176.840,
1975-02,176.840,
1975-03,176.840,
1975-04,176.840,
1975-05,176.840,
1975-06,176.840,
1975-07,176.840,
1975-08,176.840,
1975-09,176.840,
1975-10,176.840,
1975-11,176.840,
1975-12,176.840,
1976-01,176.840,
1976-02,176.840,
1976-03,176.840,
1976-04,176.840,
1976-05,176.840,
1976-06,176.840,
1976-07,176.840,
1976-08,176.840,
1976-09,176.840,
1976-10,176.840,
1976-11,176.840,
1976-12,176.840,
1977-01,176.840,
1977-02,176.840,
1977-03,176.840,
1977-04,176.840,
1977-05,176.840,
1977-06,176.840,
1977-07,176.840,
1977-08,176.840,
1977-09,176.840,
1977-10,176.840,
1977-11,176.840,
1977-12,176.840,
1978-01,176.840,
1978-02,176.840,
1978-03,176.840,
1978-04,176.840,
1978-05,176.840,
1978-06,176.840,
1978-07,176.840,
1978-08,176.840,
1978-09,176.840,
1978-10,176.840,
1978-11,176.840,
1978-12,176.840,
1979-01,176.840,
1979-02,176.840,
1979-03,176.840,
1979-04,176.840,
1979-05,176.840,
1979-06,176.840,
1979-07,176.840,
1979-08,176.840,
1979-09,176.840,
1979-10,176.840,
1979-11,176.840,
1979-12,176.840,
1980-01,176.840,
1980-02,176.840,
1980-03,176.840,
1980-04,176.840,
1980-05,176.840,
1980-06,176.840,
1980-07,176.840,
1980-08,176.840,
1980-09,176.840,
1980-10,176.840,
1980-11,176.840,
1980-12,176.840,
1981-01,176.840,
1981-02,176.840,
1981-03,176.840,
1981-04,176.840,
1981-05,176.840,
1981-06,176.840,
1981-07,176.840,
1981-08,176.840,
1981-09,176.840,
1981-10,176.840,
1981-11,176.840,
1981-12,176.840,
1982-01,176.840,
1982-02,176.840,
1982-03,176.840,
1982-04,176.840,
1982-05,176.840,
1982-06,176.840,
1982-07,176.840,
1982-08,176.840,
1982-09,176.840,
1982-10,176.840,
1982-11,176.840,
1982-12,176.840,
1983-01,176.840,
1983-02,176.840,
1983-03,176.840,
1983-04,176.840,
1983-05,176.840,
1983-06,176.840,
1983-07,176.840,
1983-08,176.840,
1983-09,176.840,
1983-10,176.840,
1983-11,176.840,
1983-12,176.840,
1984-01,176.840,
1984-02,176.840,
1984-03,176.840,
1984-04,176.840,
1984-05,176.840,
1984-06,176.840,
1984-07,176.840,
1984-08,176.840,
1984-09,176.840,
1984-10,176.840,
1984-11,176.840,
1984-12,176.840,
1985-01,176.840,
1985-02,176.840,
1985-03,176.840,
1985-04,176.840,
1985-05,176.840,
1985-06,176.840,
1985-07,176.840,
1985-08,176.840,
1985-09,176.840,
1985-10,176.840,
1985-11,176.840,
1985-12,176.840,
1986-01,176.840,
1986-02,176.840,
1986-03,176.840,
1986-04,176.840,
1986-05,176.840,
1986-06,176.840,
1986-07,176.840,
1986-08,176.840,
1986-09,176.840,
1986-10,176.840,
1986-11,176.840,
1986-12,176.840,
1987-01,176.840,
1987-02,176.840,
1987-03,176.840,
1987-04,176.840,
1987-05,176.840,
1987-06,176.840,
1987-07,176.840,
1987-08,176.840,
1987-09,176.840,
1987-10,176.840,
1987-11,176.840,
1987-12,176.840,
1988-01,176.840,
1988-02,176.840,
1988-03,176.840,
1988-04,176.840,
1988-05,176.840,
1988-06,176.840,
1988-07,176.840,
1988-08,176.840,
1988-09,176.840,
1988-10,176.840,
1988-11,176.840,
1988-12,176.840,
1989-01,176.840,
1989-02,176.840,
1989-03,176.840,
1989-04,176.840,
1989-05,176.840,
1989-06,176.840,
1989-07,176.840,
1989-08,176.840,
1989-09,176.840,
1989-10,176.840,
1989-11,176.840,
1989-12,176.840,
1990-01,176.840,
1990-02,176.840,
1990-03,176.840,
1990-04,176.840,
1990-05,176.840,
1990-06,176.840,
1990-07,176.840,
1990-08,176.840,
1990-09,176.840,
1990-10,176.840,
1990-11,176.840,
1990-12,176.840,
1991-01,176.840,
1991-02,176.840,
1991-03,176.840,
1991-04,176.840,
1991-05,176.840,
1991-06,176.840,
1991-07,176.840,
1991-08,176.840,
1991-09,176.840,
1991-10,176.840,
1991-11,176.840,
1991-12,176.840,
1992-01,176.840,
1992-02,176.840,
1992-03,176.840,
1992-04,176.840,
1992-05,176.840,
1992-06,176.840,
1992-07,176.840,
1992-08,176.840,
1992-09,176.840,
1992-10,176.840,
1992-11,176.840,
1992-12,176.840,
1993-01,176.840,
1993-02,176.840,
1993-03,176.840,
1993-04,176.840,
1993-05,176.840,
1993-06,176.840,
1993-07,176.840,
1993-08,176.840,
1993-09,176.840,
1993-10,176.840,
1993-11,176.840,
1993-12,176.840,
1994-01,176.840,
1994-02,176.840,
1994-03,176.840,
1994-04,176.840,
1994-05,176.840,
1994-06,176.840,
1994-07,176.832,
1994-08,176.832,
1994-09,176.832,
1994-10,176.832,
1994-11,176.832,
1994-12,176.832,
1995-01,176.832,
1995-02,176.832,
1995-03,176.832,
1995-04,176.832,
1995-05,176.832,
1995-06,176.832,
1995-07,176.832,
1995-08,176.832,
1995-09,176.832,
1995-10,176.832,
1995-11,176.832,
1995-12,176.832,
1996-01,176.832,
1996-02,176.832,
1996-03,176.832,
1996-04,176.832,
1996-05,176.832,
1996-06,176.832,
1996-07,176.832,
1996-08,176.832,
1996-09,176.832,
1996-10,176.832,
1996-11,176.832,
1996-12,176.832,
1997-01,176.832,
1997-02,176.832,
1997-03,176.832,
1997-04,176.832,
1997-05,176.832,
1997-06,176.832,
1997-07,176.832,
1997-08,176.832,
1997-09,176.832,
1997-10,176.832,
1997-11,176.832,
1997-12,176.832,
1998-01,176.832,
1998-02,176.832,
1998-03,176.832,
1998-04,176.832,
1998-05,176.832,
1998-06,176.832,
1998-07,176.832,
1998-08,176.832,
1998-09,176.832,
1998-10,176.832,
1998-11,176.832,
1998-12,176.832,
1999-01,176.832,
1999-02,176.832,
1999-03,176.832,
1999-04,176.832,
1999-05,176.832,
1999-06,176.832,
1999-07,176.832,
1999-08,176.832,
1999-09,176.832,
1999-10,176.832,
1999-11,176.832,
1999-12,176.832,
2000-01,176.832,
2000-02,176.832,
2000-03,176.832,
2000-04,176.832,
2000-05,176.832,
2000-06,176.832,
2000-07,176.832,
2000-08,176.832,
2000-09,176.832,
2000-10,176.832,
2000-11,176.832,
2000-12,176.832,
2001-01,176.832,
2001-02,176.832,
2001-03,176.832,
2001-04,176.832,
2001-05,176.832,
2001-06,176.832,
2001-07,176.832,
2001-08,176.832,
2001-09,176.832,
2001-10,176.832,
2001-11,176.832,
2001-12,176.832,
2002-01,176.832,
2002-02,176.832,
2002-03,176.832,
2002-04,176.832,
2002-05,176.832,
2002-06,176.832,
2002-07,176.832,
2002-08,176.832,
2002-09,176.832,
2002-10,176.832,
2002-11,176.832,
2002-12,176.832,
2003-01,176.832,
2003-02,176.832,
2003-03,176.832,
2003-04,176.832,
2003-05,176.832,
2003-06,176.832,
2003-07,176.832,
2003-08,176.832,
2003-09,176.832,
2003-10,176.832,
2003-11,176.832,
2003-12,176.832,
2004-01,176.832,
2004-02,176.832,
2004-03,176.832,
2004-04,176.832,
2004-05,176.832,
2004-06,176.832,
2004-07,176.832,
2004-08,176.832,
2004-09,176.832,
2004-10,176.832,
2004-11,176.832,
2004-12,176.832,
2005-01,176.832,
2005-02,176.832,
2005-03,176.832,
2005-04,176.832,
2005-05,176.832,
2005-06,176.832,
2005-07,176.832,
2005-08,176.832,
2005-09,176.832,
2005-10,176.832,
2005-11,176.832,
2005-12,176.832,
2006-01,176.832,
2006-02,176.832,
2006-03,176.832,
2006-04,176.832,
2006-05,176.832,
2006-06,176.832,
2006-07,176.832,
2006-08,176.832,
2006-09,176.832,
2006-10,176.832,
2006-11,176.832,
2006-12,176.832,
2007-01,176.832,
2007-02,176.832,
2007-03,176.832,
2007-04,176.832,
2007-05,176.832,
2007-06,176.832,
2007-07,176.832,
2007-08,176.832,
2007-09,176.832,
2007-10,176.832,
2007-11,176.832,
2007-12,176.832,
2008-01,176.832,
2008-02,176.832,
2008-03,176.832,
2008-04,176.832,
2008-05,176.832,
2008-06,176.832,
2008-07,176.832,
2008-08,176.832,
2008-09,176.832,
2008-10,176.832,
2008-11,176.832,
2008-12,176.832,
2009-01,176.832,
2009-02,176.832,
2009-03,176.832,
2009-04,176.832,
2009-05,176.832,
2009-06,176.832,
2009-07,176.832,
2009-08,176.832,
2009-09,176.832,
2009-10,176.832,
2009-11,176.832,
2009-12,176.832,
2010-01,176.832,
2010-02,176.832,
2010-03,176.832,
2010-04,176.832,
2010-05,176.832,
2010-06,176.832,
2010-07,176.832,
2010-08,176.832,
2010-09,176.832,
2010-10,176.832,
2010-11,176.832,
2010-12,176.832,
2011-01,176.832,
2011-02,176.832,
2011-03,176.832,
2011-04,176.832,
2011-05,176.832,
2011-06,176.832,
2011-07,176.832,
2011-08,176.832,
2011-09,176.832,
2011-10,176.832,
2011-11,176.832,
2011-12,176.832,
2012-01,176.832,
2012-02,176.832,
2012-03,176.832,
2012-04,176.832,
2012-05,176.832,
2012-06,176.832,
2012-07,176.832,
2012-08,176.832,
2012-09,176.832,
2012-10,176.832,
2012-11,176.832,
2012-12,176.832,
2013-01,176.832,
2013-02,176.832,
2013-03,176.832,
2013-04,176.832,
2013-05,176.832,
2013-06,176.832,
2013-07,176.832,
2013-08,176.832,
2013-09,176.832,
2013-10,176.832,
2013-11,176.832,
2013-12,176.832,
2014-01,176.832,
2014-02,176.832,
2014-03,176.832,
2014-04,176.832,
2014-05,176.832,
2014-06,176.832,
2014-07,176.832,
2014-08,176.832,
2014-09,176.832,
2014-10,176.832,
2014-11,176.832,
2014-12,176.832,
2015-01,176.832,
"","Source: Banque pour le Commerce et l'Industrie, Mer Rouge, Djibouti.",
