"",BBSF2.M.1.T.00000.IMM01.I.F.GSS.GB.00000.000000.Z01.00,BBSF2.M.1.T.00000.IMM01.I.F.GSS.GB.00000.000000.Z01.00_FLAGS
"",Funds total / Real estate funds / Properties / United Kingdom,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:54:47,
2009-09,10356,
2009-10,10512,
2009-11,10322,
2009-12,10540,
2010-01,11218,
2010-02,10802,
2010-03,10762,
2010-04,10942,
2010-05,11054,
2010-06,11610,
2010-07,11226,
2010-08,11224,
2010-09,10791,
2010-10,10613,
2010-11,10969,
2010-12,10851,
2011-01,10642,
2011-02,10739,
2011-03,10415,
2011-04,9892,
2011-05,9971,
2011-06,9549,
2011-07,9823,
2011-08,9737,
2011-09,9733,
2011-10,9685,
2011-11,10030,
2011-12,10313,
2012-01,10311,
2012-02,10230,
2012-03,9989,
2012-04,10586,
2012-05,10769,
2012-06,10573,
2012-07,10899,
2012-08,10529,
2012-09,10554,
2012-10,10489,
2012-11,10136,
2012-12,9947,
2013-01,9824,
2013-02,9779,
2013-03,9983,
2013-04,10061,
2013-05,9882,
2013-06,9685,
2013-07,9484,
2013-08,9648,
2013-09,9592,
2013-10,9402,
2013-11,10032,
2013-12,10070,
2014-01,10238,
2014-02,10301,
2014-03,10064,
2014-04,9818,
2014-05,9919,
2014-06,9985,
2014-07,9794,
2014-08,9676,
2014-09,9880,
2014-10,10030,
2014-11,9965,
