"",BBK01.OEAN05I,BBK01.OEAN05I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:52,
2002-01,2.878,
2002-04,2.522,
2002-07,2.460,
2002-10,2.537,
2003-01,2.563,
2003-04,2.551,
2003-07,2.540,
2003-10,2.616,
2004-01,2.603,
2004-04,2.586,
2004-07,2.567,
2004-10,2.630,
2005-01,2.926,
2005-04,2.876,
2005-07,2.966,
2005-10,3.076,
2006-01,3.053,
2006-04,2.975,
2006-07,2.853,
2006-10,2.792,
2007-01,2.640,
2007-04,2.511,
2007-07,2.369,
2007-10,2.420,
2008-01,2.360,
2008-04,2.283,
2008-07,2.187,
2008-10,2.212,
2009-01,2.429,
2009-04,2.327,
2009-07,2.436,
2009-10,2.934,
2010-01,2.565,
2010-04,2.557,
2010-07,2.556,
2010-10,2.525,
2011-01,2.486,
2011-04,2.405,
2011-07,2.385,
2011-10,2.377,
2012-01,2.372,
2012-04,2.364,
2012-07,2.406,
2012-10,2.451,
2013-01,2.468,
2013-04,2.542,
2013-07,2.554,
2013-10,2.601,
2014-01,2.652,
2014-04,2.655,
2014-07,2.673,
