"",BBFB1.Q.N.DE.W1.S1.S1.T.A.FA.D1.FL._Z._T._X.N,BBFB1.Q.N.DE.W1.S1.S1.T.A.FA.D1.FL._Z._T._X.N_FLAGS
"",Assets (Net Acquisition of) / Financial account / Debt instruments (FDI) / Rest of the World / Total economy / Direct investor in direct investment enterprises,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 15:57:32,
1991-01,-169.079,
1991-04,0.085,
1991-07,97.589,
1991-10,99.850,
1992-01,26.041,
1992-04,-187.643,
1992-07,37.507,
1992-10,-170.200,
1993-01,138.067,
1993-04,138.221,
1993-07,-12.572,
1993-10,-197.876,
1994-01,52.090,
1994-04,-114.610,
1994-07,-219.999,
1994-10,-30.386,
1995-01,-233.411,
1995-04,575.924,
1995-07,172.131,
1995-10,699.698,
1996-01,5213.608,
1996-04,4346.116,
1996-07,733.653,
1996-10,7743.314,
1997-01,11879.614,
1997-04,2280.362,
1997-07,-1228.140,
1997-10,-495.671,
1998-01,21061.758,
1998-04,2537.838,
1998-07,-2788.636,
1998-10,-997.862,
1999-01,20734.428,
1999-04,19395.054,
1999-07,-10850.213,
1999-10,3993.244,
2000-01,21951.541,
2000-04,23137.269,
2000-07,-9896.880,
2000-10,-910.498,
2001-01,9708.918,
2001-04,3533.429,
2001-07,-6987.529,
2001-10,3028.321,
2002-01,3753.797,
2002-04,590.944,
2002-07,2415.218,
2002-10,-7151.077,
2003-01,12439.527,
2003-04,-6920.045,
2003-07,2437.469,
2003-10,-1998.142,
2004-01,9168.128,
2004-04,696.713,
2004-07,4095.049,
2004-10,-8119.342,
2005-01,7823.513,
2005-04,7747.109,
2005-07,-2172.509,
2005-10,5031.513,
2006-01,13777.779,
2006-04,4399.651,
2006-07,-3207.154,
2006-10,-2476.701,
2007-01,13842.643,
2007-04,5406.814,
2007-07,14943.446,
2007-10,-11575.051,
2008-01,12164.960,
2008-04,9863.804,
2008-07,4332.868,
2008-10,4693.560,
2009-01,2529.935,
2009-04,221.434,
2009-07,-3615.328,
2009-10,10267.645,
2010-01,12240.300,
2010-04,15387.249,
2010-07,-2718.855,
2010-10,-2255.861,
2011-01,9352.275,
2011-04,773.476,
2011-07,2073.297,
2011-10,-1155.863,
2012-01,10066.109,
2012-04,8129.544,
2012-07,-1436.303,
2012-10,-2350.416,
2013-01,2612.182,
2013-04,14043.181,
2013-07,218.820,
2013-10,-5389.101,
2014-01,5195.165,
2014-04,3373.240,
2014-07,1491.835,
