"",BBK01.OEAH23U,BBK01.OEAH23U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:31:19,
2002-01,0.723,
2002-04,0.718,
2002-07,0.671,
2002-10,0.656,
2003-01,0.614,
2003-04,0.581,
2003-07,0.539,
2003-10,0.530,
2004-01,0.444,
2004-04,0.377,
2004-07,0.334,
2004-10,0.323,
2005-01,0.311,
2005-04,0.300,
2005-07,0.311,
2005-10,0.320,
2006-01,0.378,
2006-04,0.407,
2006-07,0.507,
2006-10,0.640,
2007-01,0.807,
2007-04,0.903,
2007-07,0.973,
2007-10,1.113,
2008-01,1.191,
2008-04,1.270,
2008-07,1.348,
2008-10,1.441,
2009-01,1.291,
2009-04,1.105,
2009-07,0.892,
2009-10,0.625,
2010-01,0.501,
2010-04,0.456,
2010-07,0.410,
2010-10,0.439,
2011-01,0.446,
2011-04,0.470,
2011-07,0.474,
2011-10,0.529,
2012-01,0.504,
2012-04,0.482,
2012-07,0.453,
2012-10,0.404,
2013-01,0.349,
2013-04,0.306,
2013-07,0.268,
2013-10,0.234,
2014-01,0.222,
2014-04,0.225,
2014-07,0.215,
