"",BBFB1.M.N.DE.W1.S1.S1.T.LD.FA.P.F3.S._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.LD.FA.P.F3.S._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Short-term debt-securities / Sales / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:51:18,
1991-01,3.702,
1991-02,30.266,
1991-03,20.904,
1991-04,74.659,
1991-05,20.972,
1991-06,181.600,
1991-07,706.469,
1991-08,272.070,
1991-09,311.455,
1991-10,366.468,
1991-11,558.812,
1991-12,432.651,
1992-01,514.943,
1992-02,998.745,
1992-03,567.786,
1992-04,819.526,
1992-05,285.226,
1992-06,1212.665,
1992-07,1770.468,
1992-08,1101.840,
1992-09,1088.993,
1992-10,971.723,
1992-11,2009.989,
1992-12,1630.273,
1993-01,2062.810,
1993-02,3233.698,
1993-03,1377.997,
1993-04,1064.358,
1993-05,1378.897,
1993-06,1323.926,
1993-07,948.431,
1993-08,1306.775,
1993-09,988.996,
1993-10,1330.618,
1993-11,1070.085,
1993-12,1091.841,
1994-01,1232.102,
1994-02,1027.526,
1994-03,706.929,
1994-04,636.709,
1994-05,1177.311,
1994-06,1364.187,
1994-07,1639.267,
1994-08,1628.693,
1994-09,2202.755,
1994-10,2089.580,
1994-11,2526.537,
1994-12,1748.621,
1995-01,1188.977,
1995-02,1354.429,
1995-03,1854.963,
1995-04,1668.662,
1995-05,1616.966,
1995-06,2539.854,
1995-07,2362.449,
1995-08,1335.701,
1995-09,2170.341,
1995-10,2163.047,
1995-11,1308.423,
1995-12,2268.302,
1996-01,1485.627,
1996-02,1233.213,
1996-03,3235.879,
1996-04,1333.952,
1996-05,3520.270,
1996-06,3810.078,
1996-07,3600.189,
1996-08,3903.635,
1996-09,4918.825,
1996-10,3884.228,
1996-11,5277.023,
1996-12,4847.988,
1997-01,10278.925,
1997-02,4548.811,
1997-03,5832.595,
1997-04,10125.162,
1997-05,5927.933,
1997-06,5905.715,
1997-07,11581.698,
1997-08,5708.226,
1997-09,6192.788,
1997-10,11429.699,
1997-11,5980.451,
1997-12,7675.300,
1998-01,13306.461,
1998-02,7566.133,
1998-03,8402.126,
1998-04,10998.650,
1998-05,7664.411,
1998-06,8622.242,
1998-07,12286.713,
1998-08,6182.509,
1998-09,7582.096,
1998-10,10422.097,
1998-11,4716.679,
1998-12,8482.353,
1999-01,10359.378,
1999-02,4182.729,
1999-03,6173.165,
1999-04,10917.493,
1999-05,6309.272,
1999-06,4965.832,
1999-07,12127.224,
1999-08,6939.252,
1999-09,8946.335,
1999-10,14204.923,
1999-11,12778.954,
1999-12,13552.612,
2000-01,27168.332,
2000-02,14053.482,
2000-03,12754.913,
2000-04,21159.466,
2000-05,13548.723,
2000-06,14965.583,
2000-07,19244.330,
2000-08,21537.064,
2000-09,19005.782,
2000-10,25302.564,
2000-11,29802.636,
2000-12,20991.501,
2001-01,27429.426,
2001-02,26743.732,
2001-03,23927.068,
2001-04,27279.554,
2001-05,22099.661,
2001-06,24337.620,
2001-07,23441.481,
2001-08,19193.793,
2001-09,19234.008,
2001-10,27348.407,
2001-11,23930.019,
2001-12,19967.574,
2002-01,31124.515,
2002-02,20859.798,
2002-03,19473.297,
2002-04,29369.853,
2002-05,22048.164,
2002-06,24569.700,
2002-07,29611.896,
2002-08,22880.294,
2002-09,23357.246,
2002-10,35457.272,
2002-11,36554.830,
2002-12,33553.308,
2003-01,42901.789,
2003-02,35728.912,
2003-03,36690.242,
2003-04,41029.200,
2003-05,42833.301,
2003-06,37664.646,
2003-07,41758.533,
2003-08,47247.974,
2003-09,34160.385,
2003-10,36255.721,
2003-11,39856.833,
2003-12,35070.669,
2004-01,40918.500,
2004-02,41373.448,
2004-03,33266.111,
2004-04,33819.641,
2004-05,38798.172,
2004-06,37225.661,
2004-07,40754.167,
2004-08,38924.396,
2004-09,33847.740,
2004-10,37675.519,
2004-11,42053.742,
2004-12,39140.467,
2005-01,37111.226,
2005-02,32542.639,
2005-03,39669.823,
2005-04,35548.143,
2005-05,42204.331,
2005-06,52903.652,
2005-07,48232.272,
2005-08,45716.257,
2005-09,38812.983,
2005-10,33424.798,
2005-11,41033.438,
2005-12,37851.293,
2006-01,37326.340,
2006-02,36579.645,
2006-03,33523.894,
2006-04,34650.465,
