"",BBK01.OELJ06O,BBK01.OELJ06O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:53,
2002-01,0.131,
2002-04,0.130,
2002-07,0.126,
2002-10,0.215,
2003-01,0.209,
2003-04,0.203,
2003-07,0.205,
2003-10,0.192,
2004-01,0.185,
2004-04,0.184,
2004-07,0.181,
2004-10,0.173,
2005-01,0.171,
2005-04,0.175,
2005-07,0.167,
2005-10,0.152,
2006-01,0.146,
2006-04,0.154,
2006-07,0.161,
2006-10,0.141,
2007-01,0.136,
2007-04,0.121,
2007-07,0.117,
2007-10,0.099,
2008-01,0.085,
2008-04,0.079,
2008-07,0.063,
2008-10,0.048,
2009-01,0.048,
2009-04,0.047,
2009-07,0.059,
2009-10,0.056,
2010-01,0.078,
2010-04,0.080,
2010-07,0.083,
2010-10,0.084,
2011-01,0.094,
2011-04,0.098,
2011-07,0.104,
2011-10,0.101,
2012-01,0.097,
2012-04,0.091,
2012-07,0.090,
2012-10,0.085,
2013-01,0.082,
2013-04,0.083,
2013-07,0.082,
2013-10,0.080,
2014-01,0.069,
2014-04,0.062,
2014-07,0.054,
