"",BBSF2.M.1.T.00000.GEL01.I.F.GMP.U201.00000.F33100.Z01.B1,BBSF2.M.1.T.00000.GEL01.I.F.GMP.U201.00000.F33100.Z01.B1_FLAGS
"","Funds total / Money market funds / Short-term debt securities / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:43,
2002-12,4146,
2003-01,4853,
2003-02,4775,
2003-03,5341,
2003-04,5266,
2003-05,5770,
2003-06,5390,
2003-07,5282,
2003-08,5342,
2003-09,5314,
2003-10,4749,
2003-11,4246,
2003-12,3721,
2004-01,3955,
2004-02,3711,
2004-03,3852,
2004-04,3392,
2004-05,3274,
2004-06,3404,
2004-07,4002,
2004-08,3692,
2004-09,3930,
2004-10,3490,
2004-11,3057,
2004-12,2518,
2005-01,2670,
2005-02,2605,
2005-03,2929,
2005-04,2490,
2005-05,2350,
2005-06,2671,
2005-07,2533,
2005-08,2599,
2005-09,2845,
2005-10,3012,
2005-11,2613,
2005-12,2617,
2006-01,2457,
2006-02,2432,
2006-03,2742,
2006-04,2578,
2006-05,2675,
2006-06,2879,
2006-07,2611,
2006-08,2694,
2006-09,2594,
2006-10,2800,
2006-11,2686,
2006-12,2623,
2007-01,2913,
2007-02,2908,
2007-03,3270,
2007-04,3210,
2007-05,3377,
2007-06,3744,
2007-07,4002,
2007-08,3313,
2007-09,3336,
2007-10,3543,
2007-11,3416,
2007-12,3360,
2008-01,4067,
2008-02,3642,
2008-03,3271,
2008-04,3271,
2008-05,3332,
2008-06,3459,
2008-07,3397,
2008-08,3186,
2008-09,3201,
2008-10,1581,
2008-11,1575,
2008-12,1341,
2009-01,1306,
2009-02,1289,
2009-03,1569,
2009-04,1396,
2009-05,1351,
2009-06,1147,
2009-07,1022,
2009-08,968,
2009-09,536,
2009-10,579,
2009-11,640,
2009-12,557,
2010-01,607,
2010-02,544,
2010-03,539,
2010-04,562,
2010-05,573,
2010-06,512,
2010-07,473,
2010-08,466,
2010-09,420,
2010-10,486,
2010-11,499,
2010-12,402,
2011-01,464,
2011-02,455,
2011-03,572,
2011-04,640,
2011-05,571,
2011-06,490,
2011-07,434,
2011-08,469,
2011-09,424,
2011-10,476,
2011-11,381,
2011-12,383,
2012-01,367,
2012-02,413,
2012-03,301,
2012-04,227,
2012-05,221,
2012-06,251,
2012-07,271,
2012-08,237,
2012-09,261,
2012-10,231,
2012-11,204,
2012-12,218,
2013-01,221,
2013-02,150,
2013-03,186,
2013-04,184,
2013-05,175,
2013-06,137,
2013-07,127,
2013-08,134,
2013-09,136,
2013-10,161,
2013-11,156,
2013-12,151,
2014-01,168,
2014-02,165,
2014-03,164,
2014-04,161,
2014-05,174,
2014-06,169,
2014-07,163,
2014-08,142,
2014-09,129,
2014-10,130,
2014-11,179,
