"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.CH.00000.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.CH.00000.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / Switzerland,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:01,
2009-09,278,
2009-10,259,
2009-11,272,
2009-12,275,
2010-01,351,
2010-02,184,
2010-03,199,
2010-04,204,
2010-05,210,
2010-06,225,
2010-07,180,
2010-08,242,
2010-09,253,
2010-10,258,
2010-11,207,
2010-12,219,
2011-01,224,
2011-02,152,
2011-03,134,
2011-04,139,
2011-05,152,
2011-06,175,
2011-07,175,
2011-08,484,
2011-09,489,
2011-10,4417,
2011-11,991,
2011-12,794,
2012-01,1070,
2012-02,1081,
2012-03,1123,
2012-04,1156,
2012-05,1194,
2012-06,1185,
2012-07,1188,
2012-08,1154,
2012-09,375,
2012-10,360,
2012-11,167,
2012-12,200,
2013-01,184,
2013-02,190,
2013-03,161,
2013-04,162,
2013-05,185,
2013-06,191,
2013-07,181,
2013-08,185,
2013-09,220,
2013-10,242,
2013-11,308,
2013-12,359,
2014-01,399,
2014-02,445,
2014-03,445,
2014-04,447,
2014-05,486,
2014-06,487,
2014-07,490,
2014-08,514,
2014-09,513,
2014-10,506,
2014-11,505,
