"",BBK01.PQK355,BBK01.PQK355_FLAGS
"",Lending to domestic enterprises / Short-term / Regional institutions of credit cooperatives,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:23:25,
1968-10,0.994,
1969-01,0.932,
1969-04,0.905,
1969-07,1.033,
1969-10,1.247,
1970-01,1.196,
1970-04,1.086,
1970-07,1.189,
1970-10,1.213,
1971-01,1.104,
1971-04,1.128,
1971-07,1.331,
1971-10,1.382,
1972-01,1.180,
1972-04,1.175,
1972-07,1.329,
1972-10,1.510,
1973-01,1.385,
1973-04,1.322,
1973-07,1.239,
1973-10,1.650,
1974-01,1.567,
1974-04,1.642,
1974-07,1.844,
1974-10,2.026,
1975-01,1.769,
1975-04,1.724,
1975-07,1.733,
1975-10,1.731,
1976-01,1.624,
1976-04,1.609,
1976-07,1.900,
1976-10,1.872,
1977-01,1.854,
1977-04,1.964,
1977-07,1.940,
1977-10,2.016,
1978-01,1.970,
1978-04,2.096,
1978-07,2.336,
1978-10,2.405,
1979-01,2.388,
1979-04,2.701,
1979-07,2.948,
1979-10,3.235,
1980-01,2.657,
1980-04,3.152,
1980-07,3.218,
1980-10,3.827,
1981-01,3.468,
1981-04,3.508,
1981-07,3.616,
1981-10,3.701,
1982-01,3.542,
1982-04,3.542,
1982-07,3.913,
1982-10,3.961,
1983-01,3.616,
1983-04,3.689,
1983-07,4.239,
1983-10,4.216,
1984-01,4.388,
1984-04,4.469,
1984-07,5.219,
1984-10,5.260,
1985-01,5.375,
1985-04,5.490,
1985-07,5.344,
1985-10,5.544,
1986-01,4.849,
1986-04,4.862,
1986-07,4.372,
1986-10,4.765,
1987-01,3.952,
1987-04,3.763,
1987-07,3.818,
1987-10,4.150,
1988-01,3.672,
1988-04,3.909,
1988-07,3.797,
1988-10,4.003,
1989-01,3.764,
1989-04,4.051,
1989-07,4.181,
1989-10,4.432,
1990-01,4.650,
1990-04,8.524,
1990-07,8.024,
1990-10,9.500,
1991-01,7.314,
1991-04,7.932,
1991-07,8.006,
1991-10,7.878,
1992-01,7.492,
1992-04,7.723,
1992-07,7.794,
1992-10,8.444,
1993-01,6.328,
1993-04,6.228,
1993-07,6.238,
1993-10,6.613,
1994-01,5.667,
1994-04,5.431,
1994-07,5.484,
1994-10,5.627,
1995-01,5.503,
1995-04,5.877,
1995-07,5.794,
1995-10,6.414,
1996-01,6.697,
1996-04,7.020,
1996-07,6.926,
1996-10,7.190,
1997-01,6.718,
1997-04,7.353,
1997-07,6.831,
1997-10,9.001,
1998-01,8.357,
1998-04,8.369,
1998-07,8.342,
1998-10,10.766,
1999-01,10.641,
1999-04,11.977,
1999-07,11.415,
1999-10,10.791,
2000-01,11.725,
2000-04,11.843,
2000-07,12.777,
2000-10,11.302,
2001-01,11.865,
2001-04,12.359,
2001-07,10.131,
2001-10,10.047,
2002-01,10.256,
2002-04,8.591,
2002-07,8.963,
2002-10,8.445,
2003-01,8.276,
2003-04,8.670,
2003-07,7.783,
2003-10,9.136,
2004-01,7.851,
2004-04,8.012,
2004-07,6.773,
2004-10,6.124,
2005-01,7.452,
2005-04,6.488,
2005-07,6.670,
2005-10,5.370,
2006-01,6.781,
2006-04,5.995,
2006-07,6.257,
2006-10,5.766,
2007-01,5.947,
2007-04,6.594,
2007-07,6.597,
2007-10,6.764,
2008-01,9.318,
2008-04,9.911,
2008-07,9.169,
2008-10,9.689,
2009-01,10.857,
2009-04,11.289,
2009-07,8.121,
2009-10,9.051,
2010-01,9.607,
2010-04,7.055,
2010-07,10.030,
2010-10,6.968,
2011-01,9.811,
2011-04,7.442,
2011-07,9.381,
2011-10,7.058,
2012-01,9.667,
2012-04,7.599,
2012-07,7.405,
2012-10,8.256,
2013-01,9.091,
2013-04,8.295,
2013-07,4.857,
2013-10,4.666,
2014-01,4.795,
2014-04,4.750,
2014-07,4.768,
2014-10,4.843,
