"",BBK01.OELK02H,BBK01.OELK02H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:16,
2002-01,3.215,
2002-04,3.203,
2002-07,3.273,
2002-10,3.498,
2003-01,3.432,
2003-04,3.511,
2003-07,3.597,
2003-10,3.717,
2004-01,3.732,
2004-04,3.672,
2004-07,3.710,
2004-10,3.958,
2005-01,3.934,
2005-04,3.933,
2005-07,3.945,
2005-10,4.325,
2006-01,4.103,
2006-04,4.071,
2006-07,4.149,
2006-10,4.552,
2007-01,4.427,
2007-04,4.338,
2007-07,4.464,
2007-10,4.920,
2008-01,4.704,
2008-04,4.520,
2008-07,4.492,
2008-10,5.080,
2009-01,5.227,
2009-04,5.460,
2009-07,5.758,
2009-10,6.387,
2010-01,6.372,
2010-04,6.440,
2010-07,6.592,
2010-10,7.134,
2011-01,6.935,
2011-04,6.756,
2011-07,6.912,
2011-10,7.478,
2012-01,7.456,
2012-04,7.607,
2012-07,7.943,
2012-10,8.514,
2013-01,8.505,
2013-04,8.567,
2013-07,8.907,
2013-10,9.510,
2014-01,9.422,
2014-04,9.389,
2014-07,9.701,
