"",BBDE1.Q.DE.Y.LCB1.A2P001000.A.L.I08.A,BBDE1.Q.DE.Y.LCB1.A2P001000.A.L.I08.A_FLAGS
"",Index of gross wages and salaries / Germany / Production sector including construction (B -F) / Calendar and seasonally adjusted,
unit,2008=100 (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-09 08:05:11,
1996-01,75.7,
1996-04,76.2,
1996-07,77.4,
1996-10,79.5,
1997-01,79.5,
1997-04,76.3,
1997-07,78.0,
1997-10,79.3,
1998-01,78.5,
1998-04,79.2,
1998-07,79.6,
1998-10,80.0,
1999-01,80.6,
1999-04,81.2,
1999-07,81.6,
1999-10,81.1,
2000-01,81.8,
2000-04,84.0,
2000-07,84.6,
2000-10,85.2,
2001-01,85.1,
2001-04,86.2,
2001-07,86.7,
2001-10,87.3,
2002-01,87.9,
2002-04,87.1,
2002-07,88.6,
2002-10,89.1,
2003-01,90.2,
2003-04,90.1,
2003-07,90.4,
2003-10,90.2,
2004-01,91.4,
2004-04,91.2,
2004-07,90.7,
2004-10,90.6,
2005-01,93.6,
2005-04,90.8,
2005-07,92.8,
2005-10,93.4,
2006-01,93.6,
2006-04,94.6,
2006-07,95.7,
2006-10,95.5,
2007-01,95.0,
2007-04,97.2,
2007-07,97.7,
2007-10,98.9,
2008-01,99.8,
2008-04,96.5,
2008-07,99.0,
2008-10,104.6,
2009-01,102.6,
2009-04,101.8,
2009-07,101.7,
2009-10,100.9,
2010-01,102.8,
2010-04,101.2,
2010-07,101.5,
2010-10,101.9,
2011-01,104.2,
2011-04,105.5,
2011-07,105.3,
2011-10,106.4,
2012-01,105.3,
2012-04,109.5,
2012-07,108.9,
2012-10,110.0,
2013-01,110.4,
2013-04,110.2,
2013-07,110.1,
2013-10,112.1,
2014-01,112.1,
2014-04,113.4,
2014-07,112.3,
