"",BBEX3.M.ISK.USD.CA.AA.A01,BBEX3.M.ISK.USD.CA.AA.A01_FLAGS
"",Exchange rates for the US dollar in Iceland / USD 1 = ISK ... (buying),
unit,ISK (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:18:08,
1986-01,42.200,
1986-02,41.100,
1986-03,41.700,
1986-04,40.600,
1986-05,41.550,
1986-06,41.150,
1986-07,40.770,
1986-08,40.620,
1986-09,40.340,
1986-10,40.840,
1986-11,40.400,
1986-12,40.180,
1987-01,39.000,
1987-02,39.210,
1987-03,38.860,
1987-04,38.520,
1987-05,38.870,
1987-06,38.980,
1987-07,39.190,
1987-08,38.840,
1987-09,39.010,
1987-10,37.910,
1987-11,36.470,
1987-12,35.600,
1988-01,36.880,
1988-02,39.400,
1988-03,38.840,
1988-04,38.720,
1988-05,43.770,
1988-06,45.630,
1988-07,46.310,
1988-08,46.700,
1988-09,48.120,
1988-10,46.160,
1988-11,45.350,
1988-12,46.160,
1989-01,49.790,
1989-02,51.350,
1989-03,53.160,
1989-04,52.890,
1989-05,56.890,
1989-06,58.450,
1989-07,58.050,
1989-08,61.140,
1989-09,60.720,
1989-10,62.100,
1989-11,62.610,
1989-12,61.090,
1990-01,60.370,
1990-02,60.460,
1990-03,60.980,
1990-04,60.790,
1990-05,60.270,
1990-06,59.620,
1990-07,57.680,
1990-08,56.500,
1990-09,56.540,
1990-10,55.040,
1990-11,55.130,
1990-12,55.310,
1991-01,54.590,
1991-02,55.360,
1991-03,59.580,
1991-04,60.780,
1991-05,60.590,
1991-06,62.890,
1991-07,61.310,
1991-08,61.130,
1991-09,59.120,
1991-10,59.420,
1991-11,58.570,
1991-12,55.540,
1992-01,58.090,
1992-02,58.640,
1992-03,59.110,
1992-04,59.320,
1992-05,57.790,
1992-06,55.450,
1992-07,54.460,
1992-08,52.630,
1992-09,53.740,
1992-10,57.600,
1992-11,63.500,
1992-12,63.840,
1993-01,63.170,
1993-02,65.030,
1993-03,64.050,
1993-04,62.560,
1993-05,62.900,
1993-06,70.660,
1993-07,72.600,
1993-08,70.650,
1993-09,69.180,
1993-10,70.990,
1993-11,71.960,
1993-12,72.630,
1994-01,72.880,
1994-02,72.470,
1994-03,71.590,
1994-04,70.770,
1994-05,70.520,
1994-06,69.130,
1994-07,69.190,
1994-08,68.830,
1994-09,67.620,
1994-10,66.500,
1994-11,68.540,
1994-12,68.210,
1995-01,67.030,
1995-02,65.760,
1995-03,63.230,
1995-04,63.000,
1995-05,62.910,
1995-06,62.760,
1995-07,62.690,
1995-08,65.550,
1995-09,64.430,
1995-10,64.450,
1995-11,65.100,
1995-12,65.140,
1996-01,66.930,
