"",BBK01.RJ7487,BBK01.RJ7487_FLAGS
"",,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-04-30 10:34:03,
1989,.,No value available
1990,.,No value available
1991,.,No value available
1992,.,No value available
1993,.,No value available
1994,.,No value available
1995,.,No value available
1996,.,No value available
1997,.,No value available
1998,.,No value available
1999,.,No value available
2000,14,
2001,15,
2002,17,
2003,17,
2004,.,No value available
2005,.,No value available
2006,.,No value available
2007,18,
2008,21,
2009,24,
2010,29,
2011,38,
2012,51,
