"",BBK01.OEBI04R,BBK01.OEBI04R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:35,
2002-01,0.883,
2002-04,0.825,
2002-07,0.823,
2002-10,0.824,
2003-01,0.700,
2003-04,0.707,
2003-07,0.671,
2003-10,0.659,
2004-01,0.604,
2004-04,0.533,
2004-07,0.498,
2004-10,0.531,
2005-01,0.555,
2005-04,0.458,
2005-07,0.477,
2005-10,0.473,
2006-01,0.519,
2006-04,0.560,
2006-07,0.581,
2006-10,0.600,
2007-01,0.700,
2007-04,0.833,
2007-07,0.885,
2007-10,1.002,
2008-01,1.235,
2008-04,1.254,
2008-07,1.378,
2008-10,1.183,
2009-01,0.656,
2009-04,0.558,
2009-07,0.415,
2009-10,0.312,
2010-01,0.281,
2010-04,0.258,
2010-07,0.227,
2010-10,0.222,
2011-01,0.328,
2011-04,0.338,
2011-07,0.353,
2011-10,0.958,
2012-01,1.161,
2012-04,1.220,
2012-07,1.322,
2012-10,1.340,
2013-01,1.288,
2013-04,1.376,
2013-07,1.373,
2013-10,1.182,
2014-01,1.282,
2014-04,1.250,
2014-07,0.959,
