"",BBK01.OEBL09S,BBK01.OEBL09S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:08,
2002-01,0.375,
2002-04,0.361,
2002-07,0.370,
2002-10,0.349,
2003-01,0.308,
2003-04,0.276,
2003-07,0.259,
2003-10,0.254,
2004-01,0.233,
2004-04,0.216,
2004-07,0.205,
2004-10,0.199,
2005-01,0.212,
2005-04,0.201,
2005-07,0.171,
2005-10,0.169,
2006-01,0.174,
2006-04,0.188,
2006-07,0.197,
2006-10,0.216,
2007-01,0.316,
2007-04,0.355,
2007-07,0.392,
2007-10,0.456,
2008-01,0.494,
2008-04,0.517,
2008-07,0.546,
2008-10,0.666,
2009-01,0.622,
2009-04,0.594,
2009-07,0.573,
2009-10,0.466,
2010-01,0.385,
2010-04,0.370,
2010-07,0.357,
2010-10,0.426,
2011-01,0.494,
2011-04,0.512,
2011-07,0.519,
2011-10,0.500,
2012-01,0.462,
2012-04,0.454,
2012-07,0.427,
2012-10,0.372,
2013-01,0.318,
2013-04,0.282,
2013-07,0.266,
2013-10,0.251,
2014-01,0.237,
2014-04,0.223,
2014-07,0.277,
