"",BBK01.OEBI03Q,BBK01.OEBI03Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:28,
2002-01,2.309,
2002-04,2.227,
2002-07,2.315,
2002-10,2.219,
2003-01,2.100,
2003-04,1.962,
2003-07,1.959,
2003-10,2.098,
2004-01,2.087,
2004-04,2.072,
2004-07,2.389,
2004-10,2.260,
2005-01,2.252,
2005-04,2.117,
2005-07,2.235,
2005-10,2.507,
2006-01,2.740,
2006-04,3.011,
2006-07,3.443,
2006-10,3.791,
2007-01,3.833,
2007-04,4.013,
2007-07,4.202,
2007-10,4.779,
2008-01,5.109,
2008-04,5.312,
2008-07,5.810,
2008-10,5.644,
2009-01,4.562,
2009-04,4.256,
2009-07,3.804,
2009-10,3.175,
2010-01,2.851,
2010-04,2.694,
2010-07,2.546,
2010-10,2.498,
2011-01,2.459,
2011-04,2.459,
2011-07,2.486,
2011-10,2.610,
2012-01,2.758,
2012-04,2.502,
2012-07,2.477,
2012-10,2.304,
2013-01,2.179,
2013-04,2.164,
2013-07,2.111,
2013-10,2.045,
2014-01,2.024,
2014-04,1.993,
2014-07,1.840,
