"",BBDE1.M.DE.Y.AEP5.A2P300000.F.C.I10.A,BBDE1.M.DE.Y.AEP5.A2P300000.F.C.I10.A_FLAGS
"","Orders received excluding large orders, non-euro-area countries / At constant prices / Germany / Industry / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:20:12,
2010-01,89.4,
2010-02,91.8,
2010-03,93.0,
2010-04,97.4,
2010-05,99.1,
2010-06,98.9,
2010-07,101.2,
2010-08,103.1,
2010-09,102.1,
2010-10,103.6,
2010-11,109.7,
2010-12,106.7,
2011-01,111.6,
2011-02,107.1,
2011-03,107.4,
2011-04,103.3,
2011-05,105.5,
2011-06,107.0,
2011-07,107.3,
2011-08,105.6,
2011-09,106.4,
2011-10,105.8,
2011-11,104.4,
2011-12,107.7,
2012-01,106.9,
2012-02,110.4,
2012-03,110.2,
2012-04,110.9,
2012-05,112.9,
2012-06,109.6,
2012-07,111.8,
2012-08,110.7,
2012-09,111.2,
2012-10,113.4,
2012-11,112.3,
2012-12,112.9,
2013-01,111.0,
2013-02,114.1,
2013-03,113.4,
2013-04,115.4,
2013-05,114.8,
2013-06,113.1,
2013-07,113.7,
2013-08,115.6,
2013-09,118.4,
2013-10,118.7,
2013-11,116.8,
2013-12,118.1,
2014-01,121.8,
2014-02,120.2,
2014-03,117.9,
2014-04,118.1,
2014-05,115.6,
2014-06,119.5,
2014-07,120.2,
2014-08,114.9,
2014-09,120.1,
2014-10,124.3,
2014-11,124.4,
2014-12,124.9,Provisional value
