"",BBK01.OEHB05L,BBK01.OEHB05L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:45,
2002-01,50.892,
2002-04,51.103,
2002-07,51.257,
2002-10,51.884,
2003-01,51.367,
2003-04,51.510,
2003-07,51.326,
2003-10,52.663,
2004-01,51.079,
2004-04,50.459,
2004-07,50.383,
2004-10,49.824,
2005-01,49.524,
2005-04,49.503,
2005-07,48.714,
2005-10,49.289,
2006-01,48.806,
2006-04,48.835,
2006-07,48.760,
2006-10,48.733,
2007-01,47.963,
2007-04,47.716,
2007-07,48.103,
2007-10,47.550,
2008-01,47.479,
2008-04,47.874,
2008-07,48.231,
2008-10,48.577,
2009-01,48.705,
2009-04,48.786,
2009-07,48.919,
2009-10,49.035,
2010-01,48.885,
2010-04,49.241,
2010-07,49.420,
2010-10,49.616,
2011-01,50.058,
2011-04,50.346,
2011-07,50.512,
2011-10,50.981,
2012-01,51.356,
2012-04,51.614,
2012-07,51.833,
2012-10,52.338,
2013-01,52.335,
2013-04,52.556,
2013-07,53.085,
2013-10,53.210,
2014-01,53.287,
2014-04,53.227,
2014-07,53.680,
