"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.U3.00122.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.U3.00122.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / EU member states not belonging to the Euro area / Monetary financial institutes (MFIs),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:53,
2009-09,27208,
2009-10,28674,
2009-11,28227,
2009-12,28787,
2010-01,28343,
2010-02,29073,
2010-03,31191,
2010-04,31781,
2010-05,31641,
2010-06,32297,
2010-07,33070,
2010-08,34504,
2010-09,35359,
2010-10,36615,
2010-11,36250,
2010-12,36382,
2011-01,35990,
2011-02,36245,
2011-03,36813,
2011-04,36963,
2011-05,37970,
2011-06,38031,
2011-07,38273,
2011-08,37355,
2011-09,37716,
2011-10,33434,
2011-11,36250,
2011-12,37297,
2012-01,38740,
2012-02,39535,
2012-03,40047,
2012-04,40174,
2012-05,40697,
2012-06,41290,
2012-07,41896,
2012-08,41804,
2012-09,41078,
2012-10,40173,
2012-11,39837,
2012-12,40172,
2013-01,37276,
2013-02,37388,
2013-03,37722,
2013-04,38065,
2013-05,37868,
2013-06,36459,
2013-07,36454,
2013-08,36543,
2013-09,36775,
2013-10,36539,
2013-11,37078,
2013-12,36201,
2014-01,35515,
2014-02,35876,
2014-03,35984,
2014-04,35918,
2014-05,36394,
2014-06,37879,
2014-07,37639,
2014-08,38254,
2014-09,38862,
2014-10,39373,
2014-11,39831,
