"",BBK01.OEAD11V,BBK01.OEAD11V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:01:57,
2002-01,1.042,
2002-04,1.059,
2002-07,1.057,
2002-10,0.933,
2003-01,1.021,
2003-04,0.983,
2003-07,0.971,
2003-10,0.907,
2004-01,0.907,
2004-04,0.834,
2004-07,0.890,
2004-10,0.816,
2005-01,0.829,
2005-04,0.822,
2005-07,0.780,
2005-10,0.746,
2006-01,0.760,
2006-04,0.797,
2006-07,0.763,
2006-10,0.723,
2007-01,0.725,
2007-04,0.736,
2007-07,0.734,
2007-10,0.727,
2008-01,0.763,
2008-04,0.766,
2008-07,0.814,
2008-10,0.766,
2009-01,0.797,
2009-04,0.774,
2009-07,0.748,
2009-10,0.907,
2010-01,0.739,
2010-04,0.722,
2010-07,0.683,
2010-10,0.695,
2011-01,0.688,
2011-04,0.724,
2011-07,0.747,
2011-10,0.684,
2012-01,0.748,
2012-04,0.761,
2012-07,0.790,
2012-10,0.731,
2013-01,0.774,
2013-04,0.757,
2013-07,0.782,
2013-10,0.706,
2014-01,0.756,
2014-04,0.789,
2014-07,0.745,
