"",BBFN1.M.DE.N.1.A.B0.S1P.F0.L.NV00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.B0.S1P.F0.L.NV00.Z01.BGA.X001.D_FLAGS
1998-12,5.232,
1999-01,5.689,
1999-02,5.678,
1999-03,5.598,
1999-04,5.692,
1999-05,5.731,
1999-06,5.914,
1999-07,6.170,
1999-08,6.632,
1999-09,6.927,
1999-10,8.591,
1999-11,8.516,
1999-12,7.482,
2000-01,7.680,
2000-02,7.690,
2000-03,7.522,
2000-04,7.455,
2000-05,7.878,
2000-06,8.429,
2000-07,8.739,
2000-08,9.148,
2000-09,9.453,
2000-10,9.735,
2000-11,9.972,
2000-12,10.601,
2001-01,10.888,
2001-02,10.912,
2001-03,11.411,
2001-04,11.388,
2001-05,11.799,
2001-06,12.036,
2001-07,12.078,
2001-08,12.716,
2001-09,12.304,
2001-10,12.687,
2001-11,12.848,
2001-12,13.810,
2002-01,14.510,
2002-02,14.706,
2002-03,14.828,
2002-04,15.043,
2002-05,14.848,
2002-06,14.910,
2002-07,16.860,
2002-08,16.831,
2002-09,16.790,
2002-10,16.803,
2002-11,17.877,
2002-12,18.367,
2003-01,20.298,
2003-02,20.031,
2003-03,20.204,
2003-04,20.243,
2003-05,20.235,
2003-06,20.049,
2003-07,22.102,
2003-08,22.068,
2003-09,22.112,
2003-10,22.692,
2003-11,22.692,
2003-12,21.676,
2004-01,22.062,
2004-02,21.113,
2004-03,21.281,
2004-04,21.255,
2004-05,23.123,
2004-06,23.171,
2004-07,23.901,
2004-08,23.844,
2004-09,24.431,
2004-10,24.384,
2004-11,24.473,
2004-12,23.958,
2005-01,25.697,
2005-02,24.934,
2005-03,25.617,
2005-04,25.686,
2005-05,22.843,
2005-06,22.633,
2005-07,22.837,
2005-08,23.140,
2005-09,23.390,
2005-10,22.841,
2005-11,22.471,
2005-12,23.846,
2006-01,24.004,
2006-02,24.705,
2006-03,24.897,
2006-04,25.094,
2006-05,24.943,
2006-06,24.943,
2006-07,23.057,
2006-08,23.409,
2006-09,23.835,
2006-10,24.337,
2006-11,24.494,
2006-12,25.105,
2007-01,25.792,
2007-02,24.587,
2007-03,25.263,
2007-04,25.840,
2007-05,28.689,
2007-06,28.935,
2007-07,28.973,
2007-08,32.955,
2007-09,33.451,
2007-10,33.232,
2007-11,31.967,
2007-12,29.932,
2008-01,33.485,
2008-02,34.394,
2008-03,36.973,
2008-04,37.341,
2008-05,37.603,
2008-06,34.619,
2008-07,33.201,
2008-08,33.721,
2008-09,34.957,
2008-10,35.270,
2008-11,35.814,
2008-12,32.169,
2009-01,32.174,
2009-02,32.511,
2009-03,32.551,
2009-04,32.432,
2009-05,32.308,
2009-06,32.382,
2009-07,32.176,
2009-08,31.628,
2009-09,32.837,
2009-10,36.010,
2009-11,37.636,
2009-12,40.893,
2010-01,41.907,
2010-02,40.613,
2010-03,40.922,
2010-04,40.787,
2010-05,41.999,
2010-06,42.954,
2010-07,39.163,
2010-08,39.553,
2010-09,40.262,
2010-10,40.338,
2010-11,40.512,
2010-12,40.320,
2011-01,40.781,
2011-02,40.325,
2011-03,41.369,
2011-04,41.340,
2011-05,41.375,
2011-06,38.631,
2011-07,39.326,
2011-08,39.916,
2011-09,39.183,
2011-10,38.761,
2011-11,38.421,
2011-12,40.638,
2012-01,41.132,
2012-02,41.364,
2012-03,42.425,
2012-04,42.710,
2012-05,42.987,
2012-06,43.545,
2012-07,44.865,
2012-08,45.394,
2012-09,47.178,
2012-10,45.757,
2012-11,48.741,
2012-12,53.420,
2013-01,56.382,
2013-02,56.135,
2013-03,56.922,
2013-04,57.638,
2013-05,60.290,
2013-06,60.893,
2013-07,61.633,
2013-08,62.503,
2013-09,63.460,
2013-10,60.453,
2013-11,65.247,
2013-12,65.136,
2014-01,64.563,
2014-02,64.350,
2014-03,65.633,
2014-04,65.434,
2014-05,65.950,
2014-06,65.758,
2014-07,67.240,
2014-08,68.125,
2014-09,67.688,
2014-10,66.812,
2014-11,66.962,
2014-12,66.874,
"","General: From 1973, including Denmark, Ireland and the United Kingdom; from 1981, including Greece; from 1986, including Portugal and Spain; from 1995, including Austria, Finland and Sweden; up to December 2002, including Guernsey, Jersey and the Isle of Man; from May 2004, including Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, the Slovak Republic and Slovenia; from January 2007, including Bulgaria and Romania.",
