"",BBK01.OECB02M,BBK01.OECB02M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:35,
2002-01,4.023,
2002-04,3.999,
2002-07,3.402,
2002-10,3.431,
2003-01,3.528,
2003-04,3.095,
2003-07,2.920,
2003-10,2.446,
2004-01,2.470,
2004-04,2.403,
2004-07,2.196,
2004-10,2.632,
2005-01,2.718,
2005-04,2.775,
2005-07,2.787,
2005-10,2.471,
2006-01,2.535,
2006-04,2.605,
2006-07,2.723,
2006-10,2.950,
2007-01,2.690,
2007-04,2.525,
2007-07,2.380,
2007-10,3.092,
2008-01,3.186,
2008-04,3.193,
2008-07,3.215,
2008-10,2.775,
2009-01,2.700,
2009-04,2.441,
2009-07,2.200,
2009-10,1.870,
2010-01,2.620,
2010-04,2.182,
2010-07,2.161,
2010-10,1.984,
2011-01,2.341,
2011-04,2.654,
2011-07,2.537,
2011-10,2.667,
2012-01,3.033,
2012-04,2.915,
2012-07,2.523,
2012-10,2.529,
2013-01,2.781,
2013-04,2.960,
2013-07,2.674,
2013-10,2.830,
2014-01,2.984,
2014-04,3.102,
2014-07,2.714,
