"",BBAI3.Q.DE.N.V.LE.F52M.S1252.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F52M.S1252.A1.S.1.N.E.Z_FLAGS
"",Assets / Pension undertakings / Money market fund shares / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:48,
2005-10,57,
2006-01,62,
2006-04,48,
2006-07,44,
2006-10,52,
2007-01,43,
2007-04,81,
2007-07,315,
2007-10,360,
2008-01,363,
2008-04,366,
2008-07,382,
2008-10,273,
2009-01,189,
2009-04,189,
2009-07,170,
2009-10,190,
2010-01,290,
2010-04,151,
2010-07,148,
2010-10,137,
2011-01,155,
2011-04,147,
2011-07,190,
2011-10,179,
2012-01,139,
2012-04,143,
2012-07,114,
2012-10,719,
2013-01,1677,
2013-04,83,
2013-07,255,
2013-10,71,
2014-01,68,
2014-04,89,
2014-07,86,
