"",BBK01.OEBM01K,BBK01.OEBM01K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:39:16,
2002-01,0.807,
2002-04,0.816,
2002-07,0.812,
2002-10,0.809,
2003-01,0.816,
2003-04,0.865,
2003-07,0.775,
2003-10,0.847,
2004-01,0.948,
2004-04,1.120,
2004-07,1.146,
2004-10,0.768,
2005-01,0.821,
2005-04,0.910,
2005-07,0.865,
2005-10,0.702,
2006-01,0.889,
2006-04,1.083,
2006-07,0.939,
2006-10,0.955,
2007-01,0.955,
2007-04,1.184,
2007-07,0.809,
2007-10,1.236,
2008-01,0.929,
2008-04,1.409,
2008-07,1.235,
2008-10,1.800,
2009-01,2.036,
2009-04,2.785,
2009-07,2.316,
2009-10,2.532,
2010-01,2.641,
2010-04,2.565,
2010-07,1.873,
2010-10,1.577,
2011-01,1.681,
2011-04,1.646,
2011-07,1.765,
2011-10,1.808,
2012-01,2.722,
2012-04,2.925,
2012-07,2.820,
2012-10,2.538,
2013-01,3.303,
2013-04,3.550,
2013-07,3.684,
2013-10,2.949,
2014-01,3.145,
2014-04,3.309,
2014-07,3.539,
