"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.IE.00013.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.IE.00013.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / Ireland / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:24,
2009-09,3656,
2009-10,4475,
2009-11,4499,
2009-12,4842,
2010-01,5293,
2010-02,5598,
2010-03,5879,
2010-04,5200,
2010-05,5156,
2010-06,4834,
2010-07,5234,
2010-08,5053,
2010-09,4626,
2010-10,4461,
2010-11,3594,
2010-12,3455,
2011-01,3341,
2011-02,3205,
2011-03,3029,
2011-04,2706,
2011-05,2553,
2011-06,2376,
2011-07,2202,
2011-08,2262,
2011-09,2445,
2011-10,2344,
2011-11,2081,
2011-12,2250,
2012-01,2366,
2012-02,2251,
2012-03,1672,
2012-04,1644,
2012-05,1407,
2012-06,1517,
2012-07,1569,
2012-08,1612,
2012-09,1659,
2012-10,1584,
2012-11,1618,
2012-12,1674,
2013-01,1841,
2013-02,1877,
2013-03,2333,
2013-04,2400,
2013-05,2364,
2013-06,2316,
2013-07,2275,
2013-08,2239,
2013-09,2287,
2013-10,2191,
2013-11,2195,
2013-12,2209,
2014-01,2323,
2014-02,2507,
2014-03,2607,
2014-04,2681,
2014-05,2589,
2014-06,2591,
2014-07,2598,
2014-08,2747,
2014-09,2833,
2014-10,2995,
2014-11,3515,
