"",BBSF2.M.1.P.00000.SON01.I.F.SVB.Z5.00000.F33200.Z01.M1,BBSF2.M.1.P.00000.SON01.I.F.SVB.Z5.00000.F33200.Z01.M1_FLAGS
"",Public funds / Other funds / Long-term debt securities,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:12,
2009-09,440,
2009-10,376,
2009-11,782,
2009-12,777,
2010-01,492,
2010-02,492,
2010-03,513,
2010-04,515,
2010-05,481,
2010-06,410,
2010-07,403,
2010-08,396,
2010-09,392,
2010-10,399,
2010-11,408,
2010-12,417,
2011-01,420,
2011-02,409,
2011-03,417,
2011-04,451,
2011-05,465,
2011-06,478,
2011-07,547,
2011-08,550,
2011-09,541,
2011-10,456,
2011-11,438,
2011-12,522,
2012-01,528,
2012-02,503,
2012-03,429,
2012-04,438,
2012-05,434,
2012-06,430,
2012-07,441,
2012-08,465,
2012-09,472,
2012-10,466,
2012-11,470,
2012-12,466,
2013-01,459,
2013-02,468,
2013-03,478,
2013-04,480,
2013-05,477,
2013-06,465,
2013-07,473,
2013-08,456,
2013-09,427,
2013-10,453,
2013-11,420,
2013-12,416,
2014-01,418,
2014-02,445,
2014-03,442,
2014-04,430,
2014-05,476,
2014-06,482,
2014-07,518,
2014-08,509,
2014-09,479,
2014-10,503,
2014-11,512,
