"",BBK01.OEAD06T,BBK01.OEAD06T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:01:07,
2002-01,0.193,
2002-04,0.208,
2002-07,0.215,
2002-10,0.196,
2003-01,0.218,
2003-04,0.212,
2003-07,0.212,
2003-10,0.206,
2004-01,0.204,
2004-04,0.198,
2004-07,0.183,
2004-10,0.165,
2005-01,0.164,
2005-04,0.157,
2005-07,0.152,
2005-10,0.138,
2006-01,0.136,
2006-04,0.132,
2006-07,0.130,
2006-10,0.129,
2007-01,0.119,
2007-04,0.131,
2007-07,0.124,
2007-10,0.118,
2008-01,0.130,
2008-04,0.137,
2008-07,0.143,
2008-10,0.140,
2009-01,0.158,
2009-04,0.171,
2009-07,0.169,
2009-10,0.237,
2010-01,0.169,
2010-04,0.175,
2010-07,0.236,
2010-10,0.150,
2011-01,0.161,
2011-04,0.161,
2011-07,0.166,
2011-10,0.160,
2012-01,0.159,
2012-04,0.207,
2012-07,0.205,
2012-10,0.208,
2013-01,0.203,
2013-04,0.207,
2013-07,0.225,
2013-10,0.217,
2014-01,0.218,
2014-04,0.217,
2014-07,0.231,
