"",BBFB1.Q.N.DE.HK.S1.S1.T.A.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.HK.S1.S1.T.A.FA.O.F._Z._T._X.N_FLAGS
"","Financial account / Net domestic financial investment abroad / Other investment / Hong Kong, China",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:47:54,
1991-01,420.498,
1991-04,-150.044,
1991-07,-327.413,
1991-10,611.306,
1992-01,397.225,
1992-04,82.075,
1992-07,156.255,
1992-10,564.164,
1993-01,-537.457,
1993-04,318.342,
1993-07,450.776,
1993-10,441.584,
1994-01,-48.823,
1994-04,900.629,
1994-07,1017.523,
1994-10,316.701,
1995-01,633.132,
1995-04,-511.637,
1995-07,-362.494,
1995-10,-122.406,
1996-01,1142.607,
1996-04,1450.938,
1996-07,-2125.256,
1996-10,101.593,
1997-01,1305.367,
1997-04,1165.480,
1997-07,-1650.291,
1997-10,-1481.271,
1998-01,-302.194,
1998-04,-222.682,
1998-07,-1188.404,
1998-10,-438.816,
1999-01,-861.633,
1999-04,121.565,
1999-07,-176.187,
1999-10,1737.910,
2000-01,322.104,
2000-04,-531.575,
2000-07,615.373,
2000-10,-1200.827,
2001-01,440.172,
2001-04,-830.561,
2001-07,864.261,
2001-10,-724.456,
2002-01,-590.752,
2002-04,607.396,
2002-07,2552.964,
2002-10,-892.364,
2003-01,-260.636,
2003-04,16.124,
2003-07,-3408.211,
2003-10,755.180,
2004-01,836.376,
2004-04,-229.191,
2004-07,-70.477,
2004-10,148.932,
2005-01,762.189,
2005-04,920.341,
2005-07,-372.436,
2005-10,-833.652,
2006-01,-880.765,
2006-04,1224.951,
2006-07,71.176,
2006-10,-1296.177,
2007-01,2129.362,
2007-04,-1265.604,
2007-07,3998.599,
2007-10,-269.612,
2008-01,2287.077,
2008-04,-815.283,
2008-07,-1624.403,
2008-10,3876.514,
2009-01,-1499.825,
2009-04,-502.006,
2009-07,927.799,
2009-10,-780.483,
2010-01,-886.392,
2010-04,-1286.536,
2010-07,-2837.881,
2010-10,1370.681,
2011-01,-359.452,
2011-04,182.930,
2011-07,351.385,
2011-10,427.794,
2012-01,-1233.879,
2012-04,-1361.363,
2012-07,-783.337,
2012-10,-434.170,
2013-01,-241.254,
2013-04,-860.342,
2013-07,-1008.060,
2013-10,969.943,
2014-01,1592.252,Provisional value
2014-04,-502.113,Provisional value
2014-07,257.191,Provisional value
2014-10,-350.503,Provisional value
