"",BBK01.OEAH47L,BBK01.OEAH47L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:21,
2002-01,0.192,
2002-04,0.193,
2002-07,0.200,
2002-10,0.166,
2003-01,0.161,
2003-04,0.158,
2003-07,0.166,
2003-10,0.167,
2004-01,0.140,
2004-04,0.146,
2004-07,0.141,
2004-10,0.134,
2005-01,0.129,
2005-04,0.138,
2005-07,0.130,
2005-10,0.128,
2006-01,0.117,
2006-04,0.112,
2006-07,0.142,
2006-10,0.110,
2007-01,0.114,
2007-04,0.125,
2007-07,0.126,
2007-10,0.220,
2008-01,0.248,
2008-04,0.240,
2008-07,0.286,
2008-10,0.328,
2009-01,0.345,
2009-04,0.317,
2009-07,0.330,
2009-10,0.347,
2010-01,0.306,
2010-04,0.410,
2010-07,0.383,
2010-10,0.543,
2011-01,0.556,
2011-04,0.456,
2011-07,0.445,
2011-10,0.370,
2012-01,0.400,
2012-04,0.457,
2012-07,0.507,
2012-10,0.518,
2013-01,0.549,
2013-04,0.510,
2013-07,0.498,
2013-10,0.460,
2014-01,0.512,
2014-04,0.659,
2014-07,0.690,
