"",BBEX3.A.LYD.EUR.CA.AB.A04,BBEX3.A.LYD.EUR.CA.AB.A04_FLAGS
"",Exchange rates for the euro in Libya  / EUR 1 = LYD ... (selling),
unit,LYD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-19 15:15:04,
1999,0.492445,
2000,0.470931,
2001,0.541448,
2002,1.204862,comment
2003,1.469615,comment
2004,1.626437,
2005,1.628360,
2006,1.654038,
2007,1.738544,
2008,1.805080,
2009,1.754375,
2010,1.676425,
2011,1.714508,
2012,1.629950,
2013,1.695692,
2014,1.690292,
"","Source: Central Bank of Libya, Tripolis",
"",Methodology: Calculated on the basis of month-end rates.,
"","Comment on 2002: On 1 January 2002, the Libyan dinar was devalued. We recorded the following exchange rates (buying/selling rate) for this date:  EUR 1 = LYD 1.151010 / 1.156780  Calculated devaluation against the rates recorded at end-December 2001: 50.3%",
"","Comment on 2003: On 15 June 2003, the exchange rate were adjusted more sharply. We recorded the following exchange rates (buying/selling rate) for this date:  14 June 2003: EUR 1 = LYD 1.356054 / 1.362852  15 June 2003: EUR 1 = LYD 1.593941 / 1.601931  Calculated devaluation: 14.9%",
