"",BBFB1.Q.Y.DE.W1.S1.S1.T.D.SD._Z._Z._Z._T._X.N,BBFB1.Q.Y.DE.W1.S1.S1.T.D.SD._Z._Z._Z._T._X.N_FLAGS
"",Balance of payments / Services: Travel / Debit (Uses) / All countries / Calendar and seasonally adjusted,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 14:49:14,
1991-01,8.66,
1991-04,8.48,
1991-07,8.50,
1991-10,8.79,
1992-01,9.28,
1992-04,9.24,
1992-07,9.39,
1992-10,9.45,
1993-01,9.76,
1993-04,9.71,
1993-07,9.72,
1993-10,9.89,
1994-01,10.67,
1994-04,10.73,
1994-07,10.75,
1994-10,10.88,
1995-01,10.76,
1995-04,10.92,
1995-07,11.07,
1995-10,11.23,
1996-01,11.03,
1996-04,11.37,
1996-07,11.42,
1996-10,11.56,
1997-01,11.74,
1997-04,12.08,
1997-07,11.97,
1997-10,11.97,
1998-01,12.07,
1998-04,12.27,
1998-07,12.28,
1998-10,12.25,
1999-01,12.66,
1999-04,13.24,
1999-07,13.15,
1999-10,13.43,
2000-01,13.73,
2000-04,14.57,
2000-07,14.34,
2000-10,14.68,
2001-01,14.45,
2001-04,14.50,
2001-07,14.83,
2001-10,13.83,
2002-01,14.17,
2002-04,13.99,
2002-07,14.03,
2002-10,13.86,
2003-01,15.50,
2003-04,14.16,
2003-07,14.12,
2003-10,14.54,
2004-01,15.38,
2004-04,14.86,
2004-07,13.71,
2004-10,14.30,
2005-01,15.31,
2005-04,14.97,
2005-07,14.67,
2005-10,15.18,
2006-01,15.48,
2006-04,14.88,
2006-07,14.51,
2006-10,14.48,
2007-01,14.83,
2007-04,14.81,
2007-07,15.32,
2007-10,15.59,
2008-01,15.32,
2008-04,16.31,
2008-07,15.53,
2008-10,14.47,
2009-01,14.69,
2009-04,14.59,
2009-07,14.49,
2009-10,14.06,
2010-01,14.33,
2010-04,15.40,
2010-07,14.39,
2010-10,15.29,
2011-01,14.78,
2011-04,15.16,
2011-07,15.63,
2011-10,15.68,
2012-01,15.58,
2012-04,15.46,
2012-07,16.13,
2012-10,15.35,
2013-01,16.90,
2013-04,16.29,
2013-07,17.53,
2013-10,17.62,
2014-01,16.23,
2014-04,17.04,Provisional value
2014-07,18.15,Provisional value
2014-10,18.37,Provisional value
