"",BBK01.OEBJ02T,BBK01.OEBJ02T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:14,
2002-01,0.554,
2002-04,0.642,
2002-07,0.643,
2002-10,0.737,
2003-01,0.695,
2003-04,0.714,
2003-07,0.762,
2003-10,0.803,
2004-01,0.750,
2004-04,0.851,
2004-07,0.845,
2004-10,0.872,
2005-01,0.823,
2005-04,0.906,
2005-07,0.894,
2005-10,0.920,
2006-01,0.876,
2006-04,0.882,
2006-07,0.900,
2006-10,1.055,
2007-01,0.912,
2007-04,0.907,
2007-07,0.855,
2007-10,0.972,
2008-01,0.875,
2008-04,0.911,
2008-07,0.895,
2008-10,1.208,
2009-01,1.440,
2009-04,1.625,
2009-07,1.804,
2009-10,2.040,
2010-01,1.911,
2010-04,1.945,
2010-07,1.898,
2010-10,2.137,
2011-01,1.826,
2011-04,1.909,
2011-07,1.880,
2011-10,1.622,
2012-01,1.640,
2012-04,1.412,
2012-07,1.545,
2012-10,1.594,
2013-01,1.314,
2013-04,1.342,
2013-07,1.509,
2013-10,1.587,
2014-01,1.595,
2014-04,1.388,
2014-07,1.502,
