"",BBK01.OEYB12T,BBK01.OEYB12T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:43,
2002-01,0.769,
2002-04,0.755,
2002-07,0.733,
2002-10,0.710,
2003-01,1.342,
2003-04,1.288,
2003-07,1.346,
2003-10,1.435,
2004-01,1.450,
2004-04,1.460,
2004-07,1.466,
2004-10,1.509,
2005-01,1.507,
2005-04,1.493,
2005-07,1.470,
2005-10,1.495,
2006-01,1.531,
2006-04,1.551,
2006-07,1.589,
2006-10,1.677,
2007-01,1.686,
2007-04,1.440,
2007-07,1.518,
2007-10,1.556,
2008-01,1.626,
2008-04,1.672,
2008-07,1.755,
2008-10,1.944,
2009-01,1.964,
2009-04,2.174,
2009-07,2.235,
2009-10,2.303,
2010-01,2.341,
2010-04,2.280,
2010-07,2.284,
2010-10,2.293,
2011-01,2.304,
2011-04,2.355,
2011-07,2.413,
2011-10,2.470,
2012-01,2.697,
2012-04,2.622,
2012-07,2.637,
2012-10,2.754,
2013-01,2.771,
2013-04,2.900,
2013-07,2.846,
2013-10,2.910,
2014-01,3.118,
2014-04,3.208,
2014-07,3.190,
