"",BBFI1.Q.N.DE.W1.S1.S1.LE.N.FA.P.F3.S._T.M.N,BBFI1.Q.N.DE.W1.S1.S1.LE.N.FA.P.F3.S._T.M.N_FLAGS
"",IIP - Portfolio investment - Debt securities - Short-term original maturity (up to 1 year incl. incl.) - Net (Assets minus Liabilities) - Positions - all sectors - all countries,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:02:06,
1999-10,-54800,
2000-01,.,No value available
2000-04,.,No value available
2000-07,.,No value available
2000-10,-56622,
2001-01,.,No value available
2001-04,.,No value available
2001-07,.,No value available
2001-10,-46601,
2002-01,.,No value available
2002-04,.,No value available
2002-07,.,No value available
2002-10,-66406,
2003-01,.,No value available
2003-04,.,No value available
2003-07,.,No value available
2003-10,-80402,
2004-01,-74686,
2004-04,-67247,
2004-07,-63306,
2004-10,-58654,
2005-01,-70542,
2005-04,-67085,
2005-07,-64520,
2005-10,-54639,
2006-01,-63969,
2006-04,-58943,
2006-07,-58470,
2006-10,-52137,
2007-01,-58091,
2007-04,-58878,
2007-07,-72903,
2007-10,-72002,
2008-01,-89552,
2008-04,-88197,
2008-07,-101037,
2008-10,-125850,
2009-01,-145724,
2009-04,-178910,
2009-07,-192279,
2009-10,-191979,
2010-01,-186358,
2010-04,-167310,
2010-07,-177954,
2010-10,-188797,
2011-01,-191807,
2011-04,-182825,
2011-07,-192450,
2011-10,-186276,
2012-01,-183635,
2012-04,-193231,
2012-07,-177524,
2012-10,-179665,
2013-01,-188461,
2013-04,-191654,
2013-07,-186008,
2013-10,-155160,
2014-01,-155481,
2014-04,-155201,
2014-07,-167362,
