"",BBK01.OEAH19J,BBK01.OEAH19J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:02,
2002-01,6.372,
2002-04,6.447,
2002-07,6.485,
2002-10,6.680,
2003-01,6.495,
2003-04,6.555,
2003-07,6.632,
2003-10,6.956,
2004-01,7.248,
2004-04,7.530,
2004-07,8.028,
2004-10,8.368,
2005-01,8.988,
2005-04,9.103,
2005-07,9.263,
2005-10,9.987,
2006-01,10.068,
2006-04,10.461,
2006-07,10.879,
2006-10,11.021,
2007-01,11.468,
2007-04,11.512,
2007-07,11.746,
2007-10,12.006,
2008-01,12.136,
2008-04,12.327,
2008-07,12.318,
2008-10,12.366,
2009-01,12.717,
2009-04,12.855,
2009-07,12.768,
2009-10,12.841,
2010-01,12.790,
2010-04,12.481,
2010-07,12.323,
2010-10,12.321,
2011-01,12.296,
2011-04,12.332,
2011-07,12.195,
2011-10,12.033,
2012-01,12.054,
2012-04,11.802,
2012-07,11.478,
2012-10,11.189,
2013-01,10.981,
2013-04,9.427,
2013-07,8.358,
2013-10,8.189,
2014-01,6.470,
2014-04,6.224,
2014-07,5.707,
