"",BBK01.OEAI10U,BBK01.OEAI10U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:09,
2002-01,0.165,
2002-04,0.167,
2002-07,0.156,
2002-10,0.156,
2003-01,0.159,
2003-04,0.160,
2003-07,0.168,
2003-10,0.169,
2004-01,0.176,
2004-04,0.178,
2004-07,0.161,
2004-10,0.163,
2005-01,0.163,
2005-04,0.163,
2005-07,0.167,
2005-10,0.172,
2006-01,0.174,
2006-04,0.175,
2006-07,0.176,
2006-10,0.180,
2007-01,0.181,
2007-04,0.183,
2007-07,0.185,
2007-10,0.189,
2008-01,0.188,
2008-04,0.193,
2008-07,0.201,
2008-10,0.208,
2009-01,0.212,
2009-04,0.216,
2009-07,0.216,
2009-10,0.223,
2010-01,0.227,
2010-04,0.230,
2010-07,0.234,
2010-10,0.239,
2011-01,0.242,
2011-04,0.242,
2011-07,0.244,
2011-10,0.253,
2012-01,0.252,
2012-04,0.255,
2012-07,0.254,
2012-10,0.265,
2013-01,0.266,
2013-04,0.267,
2013-07,0.269,
2013-10,0.269,
2014-01,0.268,
2014-04,0.273,
2014-07,0.274,
