"",BBFB1.Q.N.DE.E1.S1.S1.T.C.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.E1.S1.S1.T.C.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Exports (fob) / Europe,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:27:08,
1991-01,64242.043,
1991-04,62792.206,
1991-07,60976.246,
1991-10,65839.987,
1992-01,65980.617,
1992-04,63104.694,
1992-07,61880.419,
1992-10,63192.112,
1993-01,56957.914,
1993-04,56648.646,
1993-07,53253.871,
1993-10,58621.432,
1994-01,58485.104,
1994-04,62388.978,
1994-07,59058.395,
1994-10,64291.136,
1995-01,66612.374,
1995-04,68678.219,
1995-07,65468.416,
1995-10,70373.721,
1996-01,70380.987,
1996-04,69507.210,
1996-07,67626.883,
1996-10,74260.042,
1997-01,72447.825,
1997-04,78821.637,
1997-07,77510.670,
1997-10,84527.704,
1998-01,83937.714,
1998-04,87931.792,
1998-07,81942.883,
1998-10,86795.142,
1999-01,83457.829,
1999-04,88536.412,
1999-07,86584.714,
1999-10,95175.085,
2000-01,98806.380,
2000-04,101614.695,
2000-07,99217.500,
2000-10,112930.415,
2001-01,110287.461,
2001-04,110155.062,
2001-07,106065.980,
2001-10,110477.915,
2002-01,106232.735,
2002-04,112953.870,
2002-07,109993.934,
2002-10,116478.913,
2003-01,113239.213,
2003-04,112355.283,
2003-07,112915.931,
2003-10,120989.379,
2004-01,123161.268,
2004-04,128795.581,
2004-07,124299.037,
2004-10,131772.661,
2005-01,129154.011,
2005-04,137520.224,
2005-07,134581.828,
2005-10,144903.690,
2006-01,149655.700,
2006-04,152176.828,
2006-07,151245.187,
2006-10,166049.649,
2007-01,171317.079,
2007-04,174222.860,
2007-07,170983.615,
2007-10,179340.593,
2008-01,179803.493,
2008-04,184648.123,
2008-07,175946.018,
2008-10,161772.485,
2009-01,139692.434,
2009-04,132867.384,
2009-07,138148.905,
2009-10,146163.274,
2010-01,149525.438,
2010-04,160908.530,
2010-07,161547.048,
2010-10,173018.701,
2011-01,181736.510,
2011-04,183791.522,
2011-07,180183.324,
2011-10,177937.612,
2012-01,188127.796,
2012-04,183421.753,
2012-07,178550.361,
2012-10,177992.232,
2013-01,184258.207,
2013-04,185379.328,
2013-07,180617.113,
2013-10,182991.865,
2014-01,190469.646,Provisional value
2014-04,188067.121,Provisional value
2014-07,188559.194,Provisional value
