"",BBK01.OEBI05H,BBK01.OEBI05H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:38,
2002-01,40.818,
2002-04,40.634,
2002-07,39.808,
2002-10,41.116,
2003-01,40.191,
2003-04,40.045,
2003-07,39.933,
2003-10,39.105,
2004-01,38.348,
2004-04,37.726,
2004-07,36.307,
2004-10,35.503,
2005-01,38.484,
2005-04,37.781,
2005-07,37.196,
2005-10,36.236,
2006-01,35.497,
2006-04,34.840,
2006-07,34.688,
2006-10,33.605,
2007-01,32.837,
2007-04,32.985,
2007-07,33.832,
2007-10,32.929,
2008-01,32.072,
2008-04,32.499,
2008-07,31.145,
2008-10,43.031,
2009-01,42.869,
2009-04,41.615,
2009-07,41.179,
2009-10,39.981,
2010-01,39.296,
2010-04,38.751,
2010-07,38.338,
2010-10,37.610,
2011-01,36.696,
2011-04,36.201,
2011-07,39.841,
2011-10,39.761,
2012-01,38.760,
2012-04,38.281,
2012-07,39.018,
2012-10,38.624,
2013-01,38.070,
2013-04,38.214,
2013-07,37.074,
2013-10,36.104,
2014-01,34.884,
2014-04,33.386,
2014-07,32.681,
