"",BBK01.OEAD38I,BBK01.OEAD38I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:14,
2002-01,0.459,
2002-04,0.417,
2002-07,0.304,
2002-10,0.288,
2003-01,0.285,
2003-04,0.280,
2003-07,0.282,
2003-10,0.273,
2004-01,0.254,
2004-04,0.251,
2004-07,0.250,
2004-10,0.258,
2005-01,0.264,
2005-04,0.302,
2005-07,0.298,
2005-10,0.311,
2006-01,0.304,
2006-04,0.317,
2006-07,0.321,
2006-10,0.310,
2007-01,0.253,
2007-04,0.243,
2007-07,0.237,
2007-10,0.237,
2008-01,0.250,
2008-04,0.265,
2008-07,0.289,
2008-10,0.282,
2009-01,0.274,
2009-04,0.260,
2009-07,0.232,
2009-10,0.223,
2010-01,0.174,
2010-04,0.176,
2010-07,0.179,
2010-10,0.177,
2011-01,0.255,
2011-04,0.249,
2011-07,0.245,
2011-10,0.242,
2012-01,0.235,
2012-04,0.234,
2012-07,0.233,
2012-10,0.212,
2013-01,0.201,
2013-04,0.198,
2013-07,0.192,
2013-10,0.175,
2014-01,0.161,
2014-04,0.151,
2014-07,0.164,
