"",BBK01.OEAH27G,BBK01.OEAH27G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:23:15,
2002-01,20.213,
2002-04,19.690,
2002-07,19.333,
2002-10,18.880,
2003-01,17.969,
2003-04,16.805,
2003-07,15.975,
2003-10,16.582,
2004-01,16.373,
2004-04,15.903,
2004-07,15.928,
2004-10,16.746,
2005-01,17.086,
2005-04,17.085,
2005-07,16.496,
2005-10,16.344,
2006-01,16.395,
2006-04,16.688,
2006-07,17.396,
2006-10,19.506,
2007-01,20.389,
2007-04,20.198,
2007-07,19.699,
2007-10,19.834,
2008-01,18.644,
2008-04,17.708,
2008-07,17.269,
2008-10,19.228,
2009-01,19.499,
2009-04,19.468,
2009-07,20.252,
2009-10,22.673,
2010-01,23.230,
2010-04,22.455,
2010-07,21.450,
2010-10,21.864,
2011-01,21.637,
2011-04,20.946,
2011-07,20.681,
2011-10,20.622,
2012-01,20.607,
2012-04,20.448,
2012-07,19.774,
2012-10,19.732,
2013-01,19.053,
2013-04,18.591,
2013-07,18.565,
2013-10,18.834,
2014-01,18.794,
2014-04,17.730,
2014-07,17.606,
