"",BBSF2.M.1.T.00000.REN01.I.F.AKT.U201.00000.000000.Z01.00,BBSF2.M.1.T.00000.REN01.I.F.AKT.U201.00000.000000.Z01.00_FLAGS
"","Funds total / Bonds funds / Shares / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:28,
2009-09,3413,
2009-10,3309,
2009-11,3322,
2009-12,3597,
2010-01,3537,
2010-02,3346,
2010-03,3609,
2010-04,3571,
2010-05,3315,
2010-06,3274,
2010-07,3528,
2010-08,3379,
2010-09,3560,
2010-10,3666,
2010-11,3461,
2010-12,3647,
2011-01,3753,
2011-02,3748,
2011-03,3680,
2011-04,3754,
2011-05,3647,
2011-06,3697,
2011-07,3485,
2011-08,3053,
2011-09,2778,
2011-10,2953,
2011-11,2953,
2011-12,3012,
2012-01,3058,
2012-02,3151,
2012-03,3143,
2012-04,2979,
2012-05,2797,
2012-06,2979,
2012-07,3043,
2012-08,3140,
2012-09,3102,
2012-10,3164,
2012-11,3278,
2012-12,3431,
2013-01,3541,
2013-02,3453,
2013-03,3443,
2013-04,3704,
2013-05,3833,
2013-06,3584,
2013-07,3871,
2013-08,3862,
2013-09,4183,
2013-10,4446,
2013-11,4422,
2013-12,4694,
2014-01,4466,
2014-02,4658,
2014-03,4821,
2014-04,4737,
2014-05,4876,
2014-06,4911,
2014-07,4644,
2014-08,4843,
2014-09,4894,
2014-10,4724,
2014-11,4472,
