"",BBK01.OEYB23G,BBK01.OEYB23G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:30,
2002-01,2.875,
2002-04,2.748,
2002-07,2.717,
2002-10,1.667,
2003-01,1.753,
2003-04,3.001,
2003-07,3.179,
2003-10,2.877,
2004-01,3.574,
2004-04,3.544,
2004-07,3.350,
2004-10,2.281,
2005-01,2.971,
2005-04,2.779,
2005-07,3.755,
2005-10,3.571,
2006-01,3.368,
2006-04,3.176,
2006-07,3.673,
2006-10,3.950,
2007-01,3.928,
2007-04,3.744,
2007-07,2.229,
2007-10,1.929,
2008-01,1.778,
2008-04,1.689,
2008-07,1.834,
2008-10,1.833,
2009-01,1.869,
2009-04,1.605,
2009-07,2.157,
2009-10,2.374,
2010-01,2.199,
2010-04,2.364,
2010-07,4.089,
2010-10,4.054,
2011-01,3.868,
2011-04,3.872,
2011-07,3.634,
2011-10,3.798,
2012-01,3.738,
2012-04,3.804,
2012-07,3.371,
2012-10,3.176,
2013-01,3.025,
2013-04,2.899,
2013-07,2.741,
2013-10,2.631,
2014-01,2.493,
2014-04,2.476,
2014-07,2.452,
