"",BBK01.OEBB17R,BBK01.OEBB17R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:31,
2002-01,2.553,
2002-04,2.570,
2002-07,2.594,
2002-10,2.652,
2003-01,2.640,
2003-04,2.674,
2003-07,2.680,
2003-10,2.658,
2004-01,2.648,
2004-04,2.664,
2004-07,2.649,
2004-10,2.641,
2005-01,3.381,
2005-04,3.429,
2005-07,3.428,
2005-10,3.385,
2006-01,3.394,
2006-04,3.473,
2006-07,3.559,
2006-10,3.524,
2007-01,3.582,
2007-04,3.674,
2007-07,3.702,
2007-10,3.745,
2008-01,3.676,
2008-04,3.605,
2008-07,3.659,
2008-10,3.652,
2009-01,3.583,
2009-04,3.936,
2009-07,3.957,
2009-10,3.979,
2010-01,3.976,
2010-04,3.977,
2010-07,3.988,
2010-10,3.990,
2011-01,4.005,
2011-04,3.993,
2011-07,4.014,
2011-10,4.052,
2012-01,4.063,
2012-04,4.076,
2012-07,4.106,
2012-10,4.114,
2013-01,4.116,
2013-04,4.126,
2013-07,4.158,
2013-10,4.169,
2014-01,4.187,
2014-04,4.199,
2014-07,4.225,
