"",BBK01.OECI05N,BBK01.OECI05N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:48,
2002-01,0.525,
2002-04,0.515,
2002-07,0.504,
2002-10,0.492,
2003-01,0.415,
2003-04,0.408,
2003-07,0.393,
2003-10,0.371,
2004-01,0.346,
2004-04,0.343,
2004-07,0.339,
2004-10,0.338,
2005-01,7.140,
2005-04,6.018,
2005-07,3.434,
2005-10,3.522,
2006-01,3.555,
2006-04,4.191,
2006-07,4.182,
2006-10,4.266,
2007-01,4.351,
2007-04,4.541,
2007-07,4.696,
2007-10,4.709,
2008-01,5.861,
2008-04,5.754,
2008-07,5.794,
2008-10,5.732,
2009-01,5.631,
2009-04,6.784,
2009-07,6.325,
2009-10,6.167,
2010-01,6.041,
2010-04,5.940,
2010-07,5.448,
2010-10,5.427,
2011-01,5.349,
2011-04,5.103,
2011-07,4.779,
2011-10,4.653,
2012-01,4.672,
2012-04,4.441,
2012-07,4.681,
2012-10,4.661,
2013-01,5.300,
2013-04,5.309,
2013-07,5.342,
2013-10,4.711,
2014-01,4.416,
2014-04,4.396,
2014-07,4.201,
