"",BBK01.OEHB11M,BBK01.OEHB11M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:59,
2002-01,1.096,
2002-04,1.093,
2002-07,1.090,
2002-10,1.100,
2003-01,1.054,
2003-04,1.043,
2003-07,1.031,
2003-10,1.026,
2004-01,1.011,
2004-04,0.999,
2004-07,0.974,
2004-10,0.969,
2005-01,0.915,
2005-04,0.942,
2005-07,0.959,
2005-10,0.936,
2006-01,0.964,
2006-04,0.960,
2006-07,0.931,
2006-10,0.950,
2007-01,0.958,
2007-04,0.958,
2007-07,1.085,
2007-10,1.132,
2008-01,1.171,
2008-04,1.207,
2008-07,1.230,
2008-10,1.205,
2009-01,1.230,
2009-04,1.208,
2009-07,1.198,
2009-10,1.188,
2010-01,1.249,
2010-04,1.371,
2010-07,1.403,
2010-10,1.455,
2011-01,1.471,
2011-04,1.485,
2011-07,1.543,
2011-10,1.585,
2012-01,1.626,
2012-04,1.666,
2012-07,1.724,
2012-10,1.753,
2013-01,1.771,
2013-04,1.799,
2013-07,1.807,
2013-10,1.880,
2014-01,1.847,
2014-04,1.857,
2014-07,1.854,
