"",BBK01.OEHB01U,BBK01.OEHB01U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:31,
2002-01,8.397,
2002-04,8.467,
2002-07,8.534,
2002-10,8.711,
2003-01,8.735,
2003-04,8.800,
2003-07,8.777,
2003-10,8.790,
2004-01,8.725,
2004-04,8.741,
2004-07,8.737,
2004-10,8.843,
2005-01,8.737,
2005-04,8.761,
2005-07,8.744,
2005-10,8.749,
2006-01,8.712,
2006-04,8.826,
2006-07,8.849,
2006-10,8.811,
2007-01,8.713,
2007-04,8.714,
2007-07,8.641,
2007-10,8.644,
2008-01,8.621,
2008-04,8.702,
2008-07,8.723,
2008-10,8.775,
2009-01,8.771,
2009-04,8.892,
2009-07,8.902,
2009-10,8.934,
2010-01,8.948,
2010-04,9.074,
2010-07,9.124,
2010-10,9.148,
2011-01,9.193,
2011-04,9.234,
2011-07,9.236,
2011-10,9.299,
2012-01,9.339,
2012-04,9.476,
2012-07,9.524,
2012-10,9.557,
2013-01,9.623,
2013-04,9.695,
2013-07,9.875,
2013-10,9.929,
2014-01,10.058,
2014-04,10.142,
2014-07,10.243,
