"",BBK01.OXA8I2,BBK01.OXA8I2_FLAGS
"",Transferable deposits of non-banks (non-MFIs) domiciled in other euro-area member states Overnight deposits - All categories of banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:16,
2009-12,-,Nothing exists
2010-01,-,Nothing exists
2010-02,-,Nothing exists
2010-03,-,Nothing exists
2010-04,-,Nothing exists
2010-05,-,Nothing exists
2010-06,10.450,
2010-07,10.727,
2010-08,10.045,
2010-09,9.997,
2010-10,10.571,
2010-11,13.376,
2010-12,10.837,
2011-01,11.171,
2011-02,11.012,
2011-03,11.341,
2011-04,11.998,
2011-05,12.468,
2011-06,12.616,
2011-07,12.872,
2011-08,11.298,
2011-09,12.749,
2011-10,12.501,
2011-11,12.750,
2011-12,13.232,
2012-01,13.103,
2012-02,16.000,
2012-03,17.407,
2012-04,16.325,
2012-05,17.105,
2012-06,17.638,
2012-07,18.896,
2012-08,19.061,
2012-09,20.951,
2012-10,19.960,
2012-11,20.401,
2012-12,19.989,
2013-01,18.803,
2013-02,20.012,
2013-03,20.133,
2013-04,20.197,
2013-05,19.661,
2013-06,19.649,
2013-07,19.764,
2013-08,19.446,
2013-09,21.168,
2013-10,19.510,
2013-11,21.153,
2013-12,20.973,
2014-01,20.315,
2014-02,20.885,
2014-03,20.754,
2014-04,20.199,
2014-05,21.591,
2014-06,21.230,
2014-07,20.845,
2014-08,21.977,
2014-09,22.766,
2014-10,23.666,
2014-11,22.455,
2014-12,23.803,Provisional value
