"",BBK01.OELO04P,BBK01.OELO04P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:53,
2002-01,-0.052,
2002-04,-0.051,
2002-07,-0.025,
2002-10,-0.001,
2003-01,0.018,
2003-04,0.005,
2003-07,-0.012,
2003-10,-0.006,
2004-01,0.005,
2004-04,-0.014,
2004-07,-0.024,
2004-10,-0.031,
2005-01,-0.035,
2005-04,-0.035,
2005-07,-0.020,
2005-10,-0.047,
2006-01,-0.031,
2006-04,-0.031,
2006-07,-0.024,
2006-10,-0.043,
2007-01,-0.071,
2007-04,-0.050,
2007-07,-0.068,
2007-10,-0.094,
2008-01,-0.074,
2008-04,-0.086,
2008-07,-0.157,
2008-10,-0.050,
2009-01,0.021,
2009-04,0.047,
2009-07,0.094,
2009-10,0.103,
2010-01,0.107,
2010-04,0.048,
2010-07,0.016,
2010-10,-0.034,
2011-01,-0.033,
2011-04,-0.001,
2011-07,-0.044,
2011-10,-0.027,
2012-01,0.008,
2012-04,-0.023,
2012-07,-0.041,
2012-10,-0.055,
2013-01,-0.055,
2013-04,-0.012,
2013-07,-0.019,
2013-10,-0.006,
2014-01,-0.015,
2014-04,-0.019,
2014-07,-0.039,
