"",BBK01.OEAF26U,BBK01.OEAF26U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:10:24,
2002-01,0.207,
2002-04,0.209,
2002-07,0.211,
2002-10,0.389,
2003-01,0.428,
2003-04,0.472,
2003-07,0.506,
2003-10,0.527,
2004-01,0.554,
2004-04,0.571,
2004-07,0.582,
2004-10,0.578,
2005-01,0.584,
2005-04,0.566,
2005-07,0.639,
2005-10,0.638,
2006-01,0.639,
2006-04,0.660,
2006-07,0.671,
2006-10,0.672,
2007-01,0.620,
2007-04,0.573,
2007-07,0.530,
2007-10,0.487,
2008-01,0.443,
2008-04,0.410,
2008-07,0.377,
2008-10,0.342,
2009-01,0.327,
2009-04,0.305,
2009-07,0.298,
2009-10,0.281,
2010-01,0.267,
2010-04,0.275,
2010-07,0.260,
2010-10,0.252,
2011-01,0.247,
2011-04,0.242,
2011-07,0.239,
2011-10,0.218,
2012-01,0.213,
2012-04,0.216,
2012-07,0.209,
2012-10,0.208,
2013-01,0.198,
2013-04,0.203,
2013-07,0.210,
2013-10,0.209,
2014-01,0.207,
2014-04,0.211,
2014-07,0.206,
