"",BBK01.OECL07I,BBK01.OECL07I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:58,
2002-01,1.378,
2002-04,0.942,
2002-07,0.922,
2002-10,1.003,
2003-01,0.958,
2003-04,0.939,
2003-07,1.031,
2003-10,1.032,
2004-01,0.972,
2004-04,0.954,
2004-07,1.101,
2004-10,1.138,
2005-01,3.781,
2005-04,3.779,
2005-07,3.762,
2005-10,3.775,
2006-01,3.735,
2006-04,3.728,
2006-07,3.682,
2006-10,3.680,
2007-01,3.759,
2007-04,3.719,
2007-07,3.636,
2007-10,3.664,
2008-01,3.669,
2008-04,3.814,
2008-07,3.693,
2008-10,3.768,
2009-01,3.939,
2009-04,4.158,
2009-07,4.434,
2009-10,4.588,
2010-01,4.638,
2010-04,4.609,
2010-07,4.614,
2010-10,4.664,
2011-01,4.613,
2011-04,4.567,
2011-07,4.566,
2011-10,4.567,
2012-01,4.878,
2012-04,4.797,
2012-07,4.751,
2012-10,4.779,
2013-01,4.714,
2013-04,4.655,
2013-07,4.527,
2013-10,4.499,
2014-01,4.437,
2014-04,4.318,
2014-07,4.416,
