"",BBK01.AU1733,BBK01.AU1733_FLAGS
"","other factors (net) / Bundesbank Figures are daily averages for the reserve maintenance period ending in the month indicated. Owing to the changeover to the new operational framework for monetary policity, there is no reserve maintenance period ending in February 2004.",
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-16 15:18:35,
1999-02,16380,
1999-03,11379,
1999-04,19892,
1999-05,10883,
1999-06,16883,
1999-07,20619,
1999-08,24379,
1999-09,20542,
1999-10,17765,
1999-11,22795,
1999-12,13131,
2000-01,3042,
2000-02,24539,
2000-03,22734,
2000-04,32666,
2000-05,24823,
2000-06,21175,
2000-07,27555,
2000-08,33106,
2000-09,42644,
2000-10,49540,
2000-11,62983,
2000-12,65044,
2001-01,57651,
2001-02,49992,
2001-03,47621,
2001-04,50683,
2001-05,47552,
2001-06,45653,
2001-07,55507,
2001-08,51990,
2001-09,54587,
2001-10,50052,
2001-11,53774,
2001-12,67110,
2002-01,64934,
2002-02,78569,
2002-03,71219,
2002-04,71777,
2002-05,63099,
2002-06,67311,
2002-07,62020,
2002-08,51847,
2002-09,49095,
2002-10,53025,
2002-11,56487,
2002-12,73544,
2003-01,66868,
2003-02,65630,
2003-03,70877,
2003-04,67402,
2003-05,68354,
2003-06,79779,
2003-07,77065,
2003-08,66545,
2003-09,69162,
2003-10,63422,
2003-11,60043,
2003-12,72157,
2004-01,70920,
2004-02,.,No value available
2004-03,71958,
2004-04,65672,
2004-05,70857,
2004-06,80855,
2004-07,91080,
2004-08,94723,
2004-09,88771,
2004-10,84839,
2004-11,88412,
2004-12,93372,
2005-01,89093,
2005-02,83776,
2005-03,93453,
2005-04,79790,
2005-05,85934,
2005-06,81492,
2005-07,91951,
2005-08,98888,
2005-09,90851,
2005-10,95246,
2005-11,92562,
2005-12,85986,
2006-01,97864,
2006-02,112105,
2006-03,104717,
2006-04,103578,
2006-05,118498,
2006-06,115500,
2006-07,118552,
2006-08,124270,
2006-09,110183,
2006-10,113692,
2006-11,122355,
2006-12,112619,
2007-01,119445,
2007-02,115703,
2007-03,104508,
2007-04,104225,
2007-05,109196,
2007-06,101425,
2007-07,99700,
2007-08,102560,
2007-09,104411,
2007-10,98771,
2007-11,80006,
2007-12,68693,
2008-01,73746,
2008-02,63251,
2008-03,46949,
2008-04,52350,
2008-05,57895,
2008-06,58877,
2008-07,55936,
2008-08,46487,
2008-09,46233,
2008-10,55925,
2008-11,68695,
2008-12,77236,
2009-01,68496,
2009-02,71405,
2009-03,55704,
2009-04,46209,
2009-05,56298,
2009-06,54296,
2009-07,40383,
2009-08,23587,
2009-09,23365,
2009-10,22354,
2009-11,34843,
2009-12,37849,
2010-01,25272,
2010-02,25357,
2010-03,11804,
2010-04,11883,
2010-05,10183,
2010-06,-29236,
2010-07,-22734,
2010-08,-21593,
2010-09,-30898,
2010-10,-48256,
2010-11,-53600,
2010-12,-57738,
2011-01,-66890,
2011-02,-51008,
2011-03,-63699,
2011-04,-61487,
2011-05,-68208,
2011-06,-75805,
2011-07,-77312,
2011-08,-88432,
2011-09,-124291,
2011-10,-154951,
2011-11,-164475,
2011-12,-205468,
2012-01,-199552,
2012-02,-217563,
2012-03,-266831,
2012-04,-321563,
2012-05,-327486,
2012-06,-349093,
2012-07,-369797,
2012-08,-351499,
2012-09,-349125,
2012-10,-325308,
2012-11,-290953,
2012-12,-277497,
2013-01,-242535,
2013-02,-207279,
2013-03,-203228,
2013-04,-189235,
2013-05,-181994,
2013-06,-188991,
2013-07,-193994,
2013-08,-207481,
2013-09,-206224,
2013-10,-194977,
2013-11,-176183,
2013-12,-169983,
2014-01,-155172,
2014-02,-145286,
2014-03,-147093,
2014-04,-138400,
2014-05,-115562,
2014-06,-99000,
2014-07,-99582,
2014-08,-96708,
2014-09,-103511,
2014-10,-102210,
2014-11,-89476,
2014-12,-86659,
2015-01,-92347,
