"",BBK01.OEBJ03H,BBK01.OEBJ03H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:16,
2002-01,36.645,
2002-04,36.421,
2002-07,36.387,
2002-10,36.126,
2003-01,35.836,
2003-04,35.566,
2003-07,35.766,
2003-10,36.317,
2004-01,36.599,
2004-04,35.566,
2004-07,34.707,
2004-10,35.006,
2005-01,36.125,
2005-04,34.700,
2005-07,34.939,
2005-10,35.105,
2006-01,34.214,
2006-04,33.863,
2006-07,35.705,
2006-10,34.744,
2007-01,35.626,
2007-04,35.708,
2007-07,37.670,
2007-10,39.666,
2008-01,39.232,
2008-04,39.317,
2008-07,40.708,
2008-10,52.122,
2009-01,49.208,
2009-04,63.219,
2009-07,51.338,
2009-10,50.777,
2010-01,48.673,
2010-04,47.121,
2010-07,46.951,
2010-10,44.798,
2011-01,45.393,
2011-04,45.609,
2011-07,56.897,
2011-10,58.375,
2012-01,53.281,
2012-04,49.041,
2012-07,56.917,
2012-10,47.778,
2013-01,50.560,
2013-04,55.875,
2013-07,34.703,
2013-10,34.383,
2014-01,33.910,
2014-04,32.600,
2014-07,32.491,
