"",BBK01.OEAA37Q,BBK01.OEAA37Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:19:24,
2002-01,31.823,
2002-04,31.841,
2002-07,30.753,
2002-10,30.828,
2003-01,30.746,
2003-04,35.553,
2003-07,35.371,
2003-10,35.179,
2004-01,34.580,
2004-04,32.044,
2004-07,31.760,
2004-10,31.645,
2005-01,32.134,
2005-04,32.054,
2005-07,32.157,
2005-10,32.137,
2006-01,32.214,
2006-04,34.962,
2006-07,32.078,
2006-10,31.942,
2007-01,32.441,
2007-04,31.367,
2007-07,25.331,
2007-10,25.184,
2008-01,25.018,
2008-04,24.997,
2008-07,24.846,
2008-10,24.724,
2009-01,24.687,
2009-04,25.616,
2009-07,25.686,
2009-10,25.799,
2010-01,25.696,
2010-04,25.761,
2010-07,25.546,
2010-10,25.584,
2011-01,25.539,
2011-04,25.557,
2011-07,25.843,
2011-10,25.611,
2012-01,25.578,
2012-04,25.796,
2012-07,25.976,
2012-10,26.012,
2013-01,26.064,
2013-04,26.159,
2013-07,26.344,
2013-10,26.493,
2014-01,26.536,
2014-04,26.777,
2014-07,27.027,
