"",BBK01.OEBO04P,BBK01.OEBO04P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:45,
2002-01,-0.011,
2002-04,-0.052,
2002-07,-0.006,
2002-10,0.008,
2003-01,-0.004,
2003-04,0.011,
2003-07,0.032,
2003-10,-0.006,
2004-01,-0.016,
2004-04,-0.010,
2004-07,0.009,
2004-10,0.030,
2005-01,0.002,
2005-04,0.005,
2005-07,0.006,
2005-10,0.003,
2006-01,-0.013,
2006-04,-0.014,
2006-07,-0.037,
2006-10,-0.025,
2007-01,0.048,
2007-04,0.008,
2007-07,0.021,
2007-10,0.031,
2008-01,0.013,
2008-04,0.007,
2008-07,-0.019,
2008-10,0.078,
2009-01,0.011,
2009-04,0.019,
2009-07,0.042,
2009-10,-0.033,
2010-01,-0.020,
2010-04,-0.017,
2010-07,-0.003,
2010-10,0.065,
2011-01,-0.014,
2011-04,-0.038,
2011-07,-0.014,
2011-10,-0.002,
2012-01,0.030,
2012-04,-0.025,
2012-07,-0.023,
2012-10,-0.024,
2013-01,-0.047,
2013-04,-0.036,
2013-07,-0.033,
2013-10,-0.021,
2014-01,-0.036,
2014-04,-0.024,
2014-07,0.053,
