"",BBFB1.M.N.DE.W1.S1.S1.T.B.D4P._T.F._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.B.D4P._T.F._Z._T._X.N_FLAGS
"",Current account / Primary income / Investment income / Balance / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:38:25,
1991-01,1325.830,
1991-02,1505.630,
1991-03,1349.825,
1991-04,1251.945,
1991-05,1037.432,
1991-06,-275.208,
1991-07,764.307,
1991-08,1236.491,
1991-09,1371.795,
1991-10,1278.686,
1991-11,923.742,
1991-12,1376.276,
1992-01,1241.491,
1992-02,1278.123,
1992-03,1195.614,
1992-04,1355.101,
1992-05,969.630,
1992-06,707.653,
1992-07,968.186,
1992-08,1360.103,
1992-09,1029.770,
1992-10,1278.374,
1992-11,614.565,
1992-12,1694.104,
1993-01,906.779,
1993-02,686.088,
1993-03,1045.498,
1993-04,962.569,
1993-05,253.961,
1993-06,770.236,
1993-07,805.233,
1993-08,595.318,
1993-09,632.249,
1993-10,632.777,
1993-11,1.012,
1993-12,1164.981,
1994-01,-13.813,
1994-02,-157.981,
1994-03,420.702,
1994-04,382.141,
1994-05,-810.720,
1994-06,179.972,
1994-07,-181.868,
1994-08,-111.783,
1994-09,141.914,
1994-10,44.395,
1994-11,-924.803,
1994-12,110.358,
1995-01,-250.120,
1995-02,-180.123,
1995-03,122.123,
1995-04,110.623,
1995-05,-753.756,
1995-06,-13.058,
1995-07,-375.089,
1995-08,-671.466,
1995-09,4.949,
1995-10,-502.621,
1995-11,-1287.836,
1995-12,227.680,
1996-01,179.849,
1996-02,-197.862,
1996-03,1040.889,
1996-04,133.089,
1996-05,-735.900,
1996-06,-157.915,
1996-07,-1419.181,
1996-08,-370.731,
1996-09,-503.836,
1996-10,-111.375,
1996-11,-577.953,
1996-12,821.081,
1997-01,-340.329,
1997-02,-513.332,
1997-03,81.828,
1997-04,-24.832,
1997-05,-1783.367,
1997-06,-777.367,
1997-07,-818.538,
1997-08,-259.390,
1997-09,-87.876,
1997-10,-708.585,
1997-11,-985.352,
1997-12,799.064,
1998-01,-279.028,
1998-02,-1183.746,
1998-03,-242.607,
1998-04,-812.255,
1998-05,-2010.845,
1998-06,-2030.076,
1998-07,-1778.268,
1998-08,-981.385,
1998-09,-506.521,
1998-10,-1737.303,
1998-11,-1167.271,
1998-12,-346.114,
1999-01,-1455.402,
1999-02,-2328.043,
1999-03,-626.579,
1999-04,252.800,
1999-05,-3121.514,
1999-06,-1006.147,
1999-07,-1272.078,
1999-08,-1514.610,
1999-09,-1366.585,
1999-10,-1413.803,
1999-11,-1679.928,
1999-12,-1619.089,
2000-01,-542.923,
2000-02,-2104.859,
2000-03,887.902,
2000-04,-1623.488,
2000-05,-1904.548,
2000-06,-1378.739,
2000-07,-1539.166,
2000-08,-2479.727,
2000-09,-1436.307,
2000-10,-891.051,
2000-11,-2543.176,
2000-12,2578.379,
2001-01,-1413.831,
2001-02,-1992.706,
2001-03,-816.465,
2001-04,-1914.479,
2001-05,-2602.047,
2001-06,-790.372,
2001-07,-1540.603,
2001-08,-1433.689,
2001-09,-993.699,
2001-10,-1236.829,
2001-11,-1452.085,
2001-12,-1385.868,
2002-01,-2402.439,
2002-02,-2016.761,
2002-03,-1483.434,
2002-04,-2351.086,
2002-05,-3668.546,
2002-06,-1768.666,
2002-07,-2137.055,
2002-08,-2247.819,
2002-09,-1566.780,
2002-10,-2250.170,
2002-11,-2507.121,
2002-12,-1924.447,
2003-01,-1857.126,
2003-02,-1832.046,
2003-03,-868.927,
2003-04,-3131.715,
2003-05,-3213.633,
2003-06,-1653.265,
2003-07,-1287.827,
2003-08,-1601.974,
2003-09,-1257.287,
2003-10,-1201.878,
2003-11,-1456.949,
2003-12,-802.811,
2004-01,570.238,
2004-02,1006.435,
2004-03,1132.735,
2004-04,-585.006,
2004-05,195.776,
2004-06,1713.966,
2004-07,1785.316,
2004-08,1688.870,
2004-09,2247.752,
2004-10,1877.576,
2004-11,2311.993,
2004-12,2363.052,
2005-01,1453.606,
2005-02,1610.609,
2005-03,2171.399,
2005-04,-449.754,
2005-05,69.877,
2005-06,2155.533,
2005-07,1884.991,
2005-08,1735.410,
2005-09,2634.572,
2005-10,2498.974,
2005-11,2665.318,
2005-12,2780.773,
2006-01,3215.398,
2006-02,3587.333,
2006-03,3399.797,
2006-04,3156.401,
2006-05,-1856.362,
2006-06,4180.227,
2006-07,3898.504,
2006-08,3886.089,
2006-09,4346.606,
2006-10,4203.910,
2006-11,4086.903,
2006-12,4769.413,
2007-01,3584.647,
2007-02,4719.211,
2007-03,5353.851,
2007-04,1222.226,
2007-05,-3910.093,
2007-06,4257.734,
2007-07,3680.207,
2007-08,4011.000,
2007-09,4293.597,
2007-10,4380.155,
