"",BBK01.OECB05K,BBK01.OECB05K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:18,
2002-01,10.092,
2002-04,9.922,
2002-07,9.626,
2002-10,9.219,
2003-01,8.727,
2003-04,8.683,
2003-07,8.868,
2003-10,8.867,
2004-01,9.742,
2004-04,9.003,
2004-07,9.363,
2004-10,15.796,
2005-01,14.132,
2005-04,14.294,
2005-07,14.092,
2005-10,15.497,
2006-01,13.659,
2006-04,13.324,
2006-07,13.201,
2006-10,13.387,
2007-01,12.908,
2007-04,12.734,
2007-07,13.655,
2007-10,13.802,
2008-01,14.576,
2008-04,15.253,
2008-07,15.188,
2008-10,14.712,
2009-01,14.128,
2009-04,17.880,
2009-07,17.743,
2009-10,18.332,
2010-01,18.587,
2010-04,18.998,
2010-07,18.145,
2010-10,18.090,
2011-01,17.897,
2011-04,18.205,
2011-07,19.260,
2011-10,19.374,
2012-01,19.394,
2012-04,23.742,
2012-07,23.535,
2012-10,24.101,
2013-01,24.296,
2013-04,23.399,
2013-07,23.136,
2013-10,22.748,
2014-01,22.909,
2014-04,23.216,
2014-07,23.261,
