"",BBK01.TQ7015O,BBK01.TQ7015O_FLAGS
"",Deposit takers - Geographical distribution of loans to total loans - Belgium                              FSI-I015,
unit,PC (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-23 10:05:31,
2005-10,0.56,
2006-01,.,No value available
2006-04,.,No value available
2006-07,.,No value available
2006-10,0.52,
2007-01,.,No value available
2007-04,.,No value available
2007-07,.,No value available
2007-10,0.40,
2008-01,.,No value available
2008-04,.,No value available
2008-07,.,No value available
2008-10,0.33,
2009-01,0.35,
2009-04,0.35,
2009-07,0.40,
2009-10,0.38,
2010-01,0.39,
2010-04,0.36,
2010-07,0.40,
2010-10,0.47,
2011-01,0.31,
2011-04,0.31,
2011-07,0.30,
2011-10,0.90,
2012-01,0.20,
2012-04,0.20,
2012-07,0.30,
2012-10,0.20,
2013-01,0.30,
2013-04,0.30,
2013-07,0.30,
2013-10,0.20,
2014-01,0.30,
2014-04,0.20,
2014-07,0.20,
