"",BBK01.WXI057,BBK01.WXI057_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:31,
2009-09,82,
2009-10,88,
2009-11,67,
2009-12,87,
2010-01,103,
2010-02,128,
2010-03,76,
2010-04,161,
2010-05,179,
2010-06,140,
2010-07,103,
2010-08,81,
2010-09,250,
2010-10,99,
2010-11,111,
2010-12,95,
2011-01,154,
2011-02,194,
2011-03,116,
2011-04,127,
2011-05,81,
2011-06,137,
2011-07,118,
2011-08,104,
2011-09,140,
2011-10,209,
2011-11,114,
2011-12,170,
2012-01,211,
2012-02,171,
2012-03,150,
2012-04,174,
2012-05,112,
2012-06,83,
2012-07,111,
2012-08,69,
2012-09,118,
2012-10,97,
2012-11,90,
2012-12,91,
2013-01,110,
2013-02,75,
2013-03,74,
2013-04,101,
2013-05,97,
2013-06,296,
2013-07,73,
2013-08,167,
2013-09,58,
2013-10,69,
2013-11,148,
2013-12,164,
2014-01,155,
2014-02,99,
2014-03,172,
2014-04,72,
2014-05,100,
2014-06,145,
2014-07,99,
2014-08,143,
2014-09,126,
2014-10,112,
2014-11,183,
