"",BBK01.OEAB12S,BBK01.OEAB12S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:32,
2002-01,6.352,
2002-04,6.292,
2002-07,6.164,
2002-10,6.148,
2003-01,6.054,
2003-04,6.065,
2003-07,6.043,
2003-10,6.041,
2004-01,5.972,
2004-04,5.958,
2004-07,5.958,
2004-10,4.551,
2005-01,4.578,
2005-04,4.637,
2005-07,4.584,
2005-10,4.631,
2006-01,4.670,
2006-04,4.711,
2006-07,4.760,
2006-10,4.813,
2007-01,4.878,
2007-04,4.837,
2007-07,4.929,
2007-10,5.104,
2008-01,5.129,
2008-04,5.219,
2008-07,5.296,
2008-10,5.432,
2009-01,5.481,
2009-04,5.539,
2009-07,5.599,
2009-10,5.945,
2010-01,5.967,
2010-04,6.051,
2010-07,6.242,
2010-10,6.517,
2011-01,6.602,
2011-04,6.791,
2011-07,6.973,
2011-10,7.392,
2012-01,7.564,
2012-04,7.838,
2012-07,7.987,
2012-10,8.216,
2013-01,8.344,
2013-04,8.418,
2013-07,8.551,
2013-10,8.746,
2014-01,8.758,
2014-04,8.756,
2014-07,8.877,
