"",BBK01.OECO04N,BBK01.OECO04N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:19,
2002-01,-0.293,
2002-04,-2.079,
2002-07,-0.065,
2002-10,0.301,
2003-01,-0.078,
2003-04,-0.125,
2003-07,0.647,
2003-10,-0.102,
2004-01,-0.256,
2004-04,-0.054,
2004-07,1.074,
2004-10,0.176,
2005-01,-0.116,
2005-04,-0.085,
2005-07,-0.689,
2005-10,-0.493,
2006-01,-0.261,
2006-04,0.290,
2006-07,0.367,
2006-10,0.550,
2007-01,0.345,
2007-04,0.423,
2007-07,0.850,
2007-10,1.269,
2008-01,0.265,
2008-04,-0.448,
2008-07,0.488,
2008-10,2.043,
2009-01,-0.939,
2009-04,-0.859,
2009-07,-3.318,
2009-10,-1.198,
2010-01,-0.140,
2010-04,-0.190,
2010-07,-0.046,
2010-10,0.095,
2011-01,-0.167,
2011-04,-0.442,
2011-07,-0.127,
2011-10,-0.092,
2012-01,1.545,
2012-04,-0.285,
2012-07,-0.053,
2012-10,-0.082,
2013-01,-0.996,
2013-04,-0.270,
2013-07,-0.298,
2013-10,-0.105,
2014-01,-0.333,
2014-04,-0.274,
2014-07,0.323,
